 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.7     3.6     4.2     2.7     9.1    11.9    17.5    21.0    12.0     2.0     1.6     1.4    15.9    50.5    15.6     4.8    91.7
 1902     1.3     2.1     4.6     5.7     7.9    12.3    20.1    18.3    15.6     3.4     0.7     0.7    18.2    50.7    19.7     6.1    92.7
 1903     3.0     2.4     3.5     2.9     5.6    13.4    15.9    18.6    12.5     5.4     0.7     0.9    12.1    47.9    18.6     5.5    84.8
 1904     2.5     2.1     3.2     2.5     9.0    13.3    19.2    22.5    12.5     4.1     3.2     1.5    14.6    55.0    19.8     9.8    95.5
 1905     4.0     4.3     5.6     4.9     8.0     9.9    19.7    21.7    14.4     2.0     0.7     1.6    18.5    51.2    17.0     9.9    96.6
 1906     3.0     5.4     3.6     2.7     6.6    14.3    19.2    21.3    12.4     2.9     0.7     0.9    12.9    54.9    16.1     7.9    93.1
 1907     2.2     4.8     6.2     6.4     6.0    14.6    17.6    17.2    11.5     1.5     0.7     0.7    18.5    49.5    13.7     8.4    89.4
 1908     3.5     4.2     3.2     2.9     6.3    12.5    18.1    17.7    12.4     2.2     0.7     1.1    12.3    48.3    15.3     7.2    84.7
 1909     3.0     3.1     1.7     8.0     6.0    17.6    20.8    19.6    11.6     3.0     0.7     2.4    15.7    58.0    15.2     7.7    97.4
 1910     2.4     2.9     2.9     4.2     7.3    16.2    20.7    18.9    14.9     4.2     2.5     1.1    14.4    55.9    21.7     6.4    98.3
 1911     3.7     1.6     6.2     4.8     6.2    16.1    16.1    20.4    14.2     3.8     2.8     0.7    17.2    52.5    20.9     6.8    96.6
 1912     2.9     3.2     4.8     4.9     7.3    13.3    19.4    18.5    13.0     2.0     3.9     1.1    17.0    51.1    18.9     7.7    94.2
 1913     1.8     4.8     4.9     3.2     9.3    18.8    17.1    20.1    11.9     3.1     1.5     3.2    17.4    56.0    16.6     8.8    99.8
