 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    40.9    45.7    43.5    37.7    56.8    66.2    76.9    75.8    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.1    52.7
 1902    40.9    45.7    43.5    37.7    56.8    66.1    77.0    75.7    66.2    45.3    37.3    39.8    46.0    72.9    49.6    42.1    52.7
 1903    40.9    45.7    43.5    37.7    56.8    66.2    77.0    75.9    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.1    52.7
 1904    40.9    45.7    43.5    37.7    56.8    66.2    76.9    75.7    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.1    52.7
 1905    40.9    45.7    43.5    37.7    56.8    66.2    77.0    75.9    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.1    52.7
 1906    40.9    45.7    43.5    37.7    56.8    66.2    77.0    75.6    66.2    45.1    37.3    39.8    46.0    72.9    49.5    42.1    52.6
 1907    40.9    45.7    43.5    37.7    56.8    66.2    77.0    75.8    66.2    45.8    37.9    40.3    46.0    73.0    50.0    42.3    52.8
 1908    40.9    45.7    43.5    37.7    56.8    66.1    76.9    75.7    66.2    45.3    37.3    39.8    46.0    72.9    49.6    42.1    52.6
 1909    40.9    45.7    43.5    37.7    56.7    66.1    77.0    75.7    66.2    45.3    37.2    39.8    46.0    72.9    49.6    42.1    52.7
 1910    40.9    45.7    43.5    37.7    56.8    66.2    76.9    75.8    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.1    52.7
 1911    40.9    45.7    43.5    37.7    56.8    66.1    76.9    75.8    66.2    45.3    37.2    39.8    46.0    73.0    49.6    42.1    52.7
 1912    40.9    45.7    43.5    37.7    56.8    66.2    76.8    75.6    66.2    45.1    37.2    39.8    46.0    72.9    49.5    42.1    52.6
 1913    41.0    45.7    43.4    37.7    56.7    66.0    76.8    75.7    66.1    45.3    37.3    39.8    45.9    72.8    49.6    42.0    52.6
 1914    40.5    45.7    43.5    37.7    56.7    66.0    76.8    75.8    66.1    45.1    37.3    39.8    46.0    72.8    49.5    42.3    52.6
 1915    40.9    46.2    43.4    37.8    56.6    65.6    76.9    75.5    66.0    45.2    37.1    39.8    45.9    72.7    49.4    42.2    52.6
 1916    41.3    45.7    43.4    38.3    56.7    66.2    76.9    76.0    66.4    45.9    37.7    40.5    46.1    73.0    50.0    42.3    52.9
 1917    40.9    45.5    43.5    37.6    56.6    66.5    77.0    75.9    66.5    45.6    37.6    39.6    45.9    73.1    49.9    42.1    52.7
 1918    41.1    45.7    44.2    37.9    56.6    66.3    76.5    76.1    66.0    45.5    37.1    39.4    46.2    73.0    49.5    41.9    52.7
 1919    40.9    45.4    43.4    37.3    56.5    66.2    77.3    75.7    65.9    45.1    36.9    40.6    45.7    73.1    49.3    42.6    52.6
 1920    41.4    45.9    44.3    37.7    56.8    66.1    77.0    75.9    66.7    45.0    36.7    39.7    46.2    73.0    49.5    42.1    52.8
 1921    40.9    45.6    43.7    37.7    57.0    66.2    77.0    76.0    67.0    44.3    37.6    39.8    46.2    73.1    49.6    41.8    52.7
 1922    40.6    45.1    43.9    37.9    56.9    66.3    77.1    76.0    66.4    45.9    37.7    40.2    46.3    73.2    50.0    42.5    52.8
 1923    40.4    46.8    43.3    37.9    56.9    66.4    77.3    76.0    66.9    44.7    37.0    39.4    46.0    73.2    49.6    41.5    52.8
 1924    39.8    45.4    42.7    37.4    56.8    66.3    77.0    76.0    66.8    45.3    37.7    39.9    45.6    73.1    49.9    42.4    52.6
 1925    41.9    45.3    42.4    37.7    56.3    65.7    77.0    75.6    66.3    45.3    36.5    38.7    45.5    72.8    49.4    41.8    52.4
 1926    40.8    46.0    44.6    38.0    56.7    66.3    77.2    76.2    66.4    45.8    37.6    40.4    46.4    73.2    50.0    42.7    53.0
 1927    41.4    46.3    43.4    38.2    57.4    66.2    77.0    76.1    66.8    45.6    37.5    39.3    46.3    73.1    50.0    41.9    52.9
 1928    40.8    45.7    43.5    37.5    56.8    66.4    77.0    76.1    66.9    45.3    37.3    39.6    45.9    73.2    49.8    41.7    52.7
 1929    40.8    44.8    43.0    36.9    57.2    66.4    77.1    75.7    66.0    44.9    37.6    40.2    45.7    73.1    49.5    42.4    52.5
 1930    40.8    46.1    43.0    37.5    56.8    66.3    76.9    75.7    67.4    45.5    37.2    39.6    45.8    73.0    50.0    40.9    52.7
 1931    37.0    45.9    39.8    31.7    53.4    60.3    75.7    75.0    65.7    47.8    34.7    36.7    41.6    70.3    49.4    38.3    50.3
 1932    37.5    40.6    38.3    29.5    54.5    64.0    75.4    74.0    60.6    39.5    30.8    38.9    40.8    71.1    43.7    40.0    48.6
 1933    38.2    43.0    35.7    34.4    57.0    65.2    76.8    78.3    67.3    42.7    31.8    37.1    42.4    73.4    47.3    39.1    50.6
 1934    39.0    41.3    38.8    32.0    52.9    64.1    75.0    74.9    60.1    38.0    39.6    41.0    41.2    71.3    45.9    43.1    49.7
 1935    39.6    48.7    38.0    35.4    51.3    58.5    74.3    75.0    62.7    38.8    33.7    35.8    41.6    69.3    45.1    38.7    49.3
 1936    35.0    45.1    40.1    32.7    55.8    67.1    76.6    74.9    65.3    44.6    34.0    42.7    42.8    72.9    48.0    42.3    51.2
 1937    33.8    50.4    37.8    32.8    53.9    62.9    76.1    74.7    62.9    42.1    34.0    38.2    41.5    71.3    46.3    41.5    50.0
 1938    41.6    44.6    42.8    30.3    55.3    68.4    73.6    74.6    61.7    40.5    38.2    34.5    42.8    72.2    46.8    38.3    50.5
 1939    35.5    45.0    41.5    32.2    50.9    65.9    74.8    72.2    62.0    42.5    31.0    37.2    41.5    70.9    45.2    40.9    49.2
 1940    39.5    46.0    44.9    33.0    53.3    63.6    75.5    73.9    61.1    38.9    34.9    36.8    43.7    71.0    45.0    38.7    50.1
 1941    40.1    39.2    39.0    30.3    57.3    68.8    75.7    74.5    64.4    43.8    33.3    37.6    42.2    73.0    47.2    40.0    50.3
 1942    38.3    44.1    41.2    33.2    55.3    63.2    77.1    74.6    66.3    41.2    34.4    39.4    43.3    71.6    47.3    41.2    50.7
 1943    44.7    39.6    39.6    34.2    53.1    64.3    75.6    74.0    63.7    40.1    30.7    35.6    42.3    71.3    44.8    41.1    49.6
 1944    40.9    46.7    40.1    35.6    51.3    62.6    76.8    75.5    63.5    39.5    30.9    35.9    42.3    71.7    44.7    37.8    50.0
 1945    40.2    37.4    39.4    37.4    53.7    62.2    76.1    75.2    67.5    44.6    31.0    34.1    43.5    71.2    47.7    35.1    49.9
 1946    34.6    36.6    34.1    32.5    55.9    66.4    75.8    74.5    61.9    44.3    31.5    37.5    40.8    72.2    45.9    38.6    48.8
 1947    38.0    40.3    37.3    31.8    53.4    64.0    73.8    75.1    65.2    41.6    31.9    38.8    40.8    71.0    46.2    40.7    49.3
 1948    38.0    45.5    42.3    32.8    54.1    63.2    75.4    75.6    63.1    43.6    34.5    40.7    43.1    71.4    47.0    38.7    50.7
 1949    36.8    38.7    40.3    40.2    57.2    65.3    76.3    75.4    63.4    38.9    29.2    32.7    45.9    72.3    43.8    36.7    49.5
 1950    38.2    39.3    38.6    27.6    51.4    67.0    76.8    73.9    63.1    43.7    27.8    29.4    39.2    72.6    44.9    30.7    48.1
 1951    33.6    29.1    29.7    30.8    49.3    65.7    74.3    74.1    55.7    41.6    36.3    36.7    36.6    71.4    44.5    35.9    46.4
 1952    30.5    40.4    45.3    36.8    54.6    64.3    77.0    76.9    62.7    31.8    24.1    34.9    45.6    72.7    39.5    40.7    48.3
 1953    46.9    40.4    45.2    35.6    56.4    68.9    80.2    78.4    67.0    40.9    30.5    40.9    45.7    75.8    46.1    48.7    52.6
 1954    49.3    55.9    40.5    32.8    54.8    69.2    79.4    78.7    72.4    42.7    31.5    40.6    42.7    75.7    48.9    42.4    54.0
 1955    45.2    41.2    41.1    36.1    53.0    68.4    80.7    77.9    71.9    55.5    38.9    42.5    43.4    75.7    55.4    42.2    54.4
 1956    45.8    38.3    45.2    35.5    59.2    73.2    75.6    75.4    67.7    55.7    37.9    43.8    46.6    74.7    53.7    47.3    54.4
 1957    51.9    46.0    44.2    36.0    53.4    63.5    79.3    75.8    62.1    38.9    28.8    40.8    44.5    72.9    43.3    43.1    51.7
 1958    43.1    45.2    40.1    37.4    55.8    61.8    78.2    80.4    68.4    49.7    34.0    42.5    44.5    73.5    50.7    46.3    53.1
 1959    48.3    48.2    38.2    37.1    59.1    66.5    78.2    77.2    66.2    54.8    36.6    36.8    44.8    74.0    52.5    35.9    53.9
 1960    36.5    34.4    48.1    35.7    54.4    62.6    79.6    79.0    69.8    48.1    34.2    36.6    46.0    73.7    50.7    44.2    51.6
 1961    45.1    50.9    45.8    35.5    57.9    66.0    76.9    80.1    69.7    53.3    45.5    44.8    46.4    74.3    56.2    45.3    56.0
 1962    38.2    53.0    42.4    38.5    57.1    67.1    76.3    77.2    69.9    43.0    35.0    40.9    46.0    73.5    49.3    34.4    53.2
