 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1921     4.4     4.2     5.4     6.2     9.3    11.2    14.4    12.8    11.5     7.8     5.2     4.5     7.0    12.8     8.2     4.4     8.1
 1922     4.1     4.7     4.9     5.9     8.6    11.0    12.8    12.6    11.4     7.7     5.3     4.2     6.5    12.2     8.1     4.0     7.8
 1923     3.9     4.0     4.1     5.7     7.8    13.1    13.5    13.0    12.0     7.8     5.6     4.5     5.9    13.2     8.5     4.2     7.9
 1924     3.7     4.3     4.7     5.7     7.3    13.3    13.1    12.9    11.6     8.1     5.4     4.4     5.9    13.1     8.4     3.9     7.9
 1925     3.5     3.9     4.0     5.3     7.1     9.8    12.5    13.2    11.6     8.0     5.0     4.1     5.5    11.8     8.2     4.2     7.3
 1926     3.9     4.7     4.0     4.7     7.3    13.0    14.1    13.2    11.7     7.9     4.9     4.4     5.3    13.4     8.2     4.0     7.8
 1927     3.8     3.9     3.8     5.3     7.3    11.6    13.3    12.7    12.0     8.0     5.1     4.6     5.5    12.5     8.4     4.3     7.6
 1928     3.8     4.4     4.2     5.1     8.3    11.0    13.1    14.1    13.1     8.8     5.4     4.3     5.9    12.7     9.1     4.1     8.0
 1929     4.0     3.9     4.5     5.3     8.3    11.3    13.3    12.5    12.3     7.8     5.2     4.2     6.0    12.4     8.4     3.9     7.7
 1930     3.7     4.0     4.5     5.1     7.6    11.0    12.5    13.0    11.9     8.0     5.4     4.2     5.7    12.2     8.4     4.3     7.6
 1931     4.6     4.0     4.0     6.0     7.9    12.4    13.5    14.0    11.8     8.3     5.3     4.7     6.0    13.3     8.5     4.5     8.0
 1932     4.8     3.9     4.3     5.1     7.5    12.5    13.8    13.0    12.1     8.2     5.6     4.3     5.6    13.1     8.6     4.1     7.9
 1933     3.5     4.5     4.3     5.0     7.2    11.0    12.7    12.5    11.2     7.8     5.2     4.4     5.5    12.1     8.1     4.2     7.4
