Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
56.8358, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
57.875, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
50.4005, 2060-2079, bnu_esm, Annual Anomaly, NPL
101.377, 2060-2079, canesm2, Annual Anomaly, NPL
257.895, 2060-2079, ccsm4, Annual Anomaly, NPL
372.208, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-36.438, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-9.2868, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
61.0322, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
48.486, 2060-2079, hadgem2_es, Annual Anomaly, NPL
25.6778, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
58.7074, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
45.5478, 2060-2079, miroc5, Annual Anomaly, NPL
41.4585, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
40.0209, 2060-2079, miroc_esm, Annual Anomaly, NPL
-5.1778, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-42.927, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
70.8177, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
190.477, 2060-2079, noresm1_m, Annual Anomaly, NPL
-143.86, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
53.1171, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
807.097, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
