Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
58.1071, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
68.8926, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
212.815, 2040-2059, ccsm4, Annual Anomaly, NPL
213.769, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-5.2507, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
52.7207, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
18.2792, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-7.562, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
69.9072, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
153.748, 2040-2059, miroc5, Annual Anomaly, NPL
45.0708, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.30435, 2040-2059, miroc_esm, Annual Anomaly, NPL
54.5209, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
127.228, 2040-2059, noresm1_m, Annual Anomaly, NPL
-124.82, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
28.4424, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
899.586, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
