Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.63033, 2060-2079, access1_0, Jan Anomaly, NPL
3.83849, 2060-2079, access1_0, Feb Anomaly, NPL
4.08948, 2060-2079, access1_0, Mar Anomaly, NPL
4.01211, 2060-2079, access1_0, Apr Anomaly, NPL
3.02961, 2060-2079, access1_0, May Anomaly, NPL
3.3995, 2060-2079, access1_0, Jun Anomaly, NPL
2.70507, 2060-2079, access1_0, Jul Anomaly, NPL
2.80319, 2060-2079, access1_0, Aug Anomaly, NPL
3.23999, 2060-2079, access1_0, Sep Anomaly, NPL
3.22238, 2060-2079, access1_0, Oct Anomaly, NPL
2.01745, 2060-2079, access1_0, Nov Anomaly, NPL
2.82125, 2060-2079, access1_0, Dec Anomaly, NPL
3.1871, 2060-2079, access1_3, Jan Anomaly, NPL
2.69931, 2060-2079, access1_3, Feb Anomaly, NPL
2.45276, 2060-2079, access1_3, Mar Anomaly, NPL
3.03155, 2060-2079, access1_3, Apr Anomaly, NPL
3.46858, 2060-2079, access1_3, May Anomaly, NPL
2.83198, 2060-2079, access1_3, Jun Anomaly, NPL
2.85374, 2060-2079, access1_3, Jul Anomaly, NPL
2.96905, 2060-2079, access1_3, Aug Anomaly, NPL
3.37385, 2060-2079, access1_3, Sep Anomaly, NPL
3.20703, 2060-2079, access1_3, Oct Anomaly, NPL
3.78992, 2060-2079, access1_3, Nov Anomaly, NPL
3.65447, 2060-2079, access1_3, Dec Anomaly, NPL
4.89084, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
3.22882, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
2.81076, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
3.37033, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
3.74333, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.42688, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
2.51874, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.62834, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
2.79778, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
2.8348, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
4.04441, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
4.11929, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
5.84279, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
2.76378, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
2.95934, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.99818, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
3.12141, 2060-2079, bcc_csm1_1, May Anomaly, NPL
2.63273, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
2.29943, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
3.12705, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
3.18188, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
2.9731, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
3.80395, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
5.24479, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
4.33382, 2060-2079, bnu_esm, Jan Anomaly, NPL
4.32228, 2060-2079, bnu_esm, Feb Anomaly, NPL
4.4105, 2060-2079, bnu_esm, Mar Anomaly, NPL
4.25555, 2060-2079, bnu_esm, Apr Anomaly, NPL
3.14605, 2060-2079, bnu_esm, May Anomaly, NPL
3.80793, 2060-2079, bnu_esm, Jun Anomaly, NPL
3.00722, 2060-2079, bnu_esm, Jul Anomaly, NPL
3.07794, 2060-2079, bnu_esm, Aug Anomaly, NPL
4.1193, 2060-2079, bnu_esm, Sep Anomaly, NPL
4.06888, 2060-2079, bnu_esm, Oct Anomaly, NPL
4.11281, 2060-2079, bnu_esm, Nov Anomaly, NPL
4.3251, 2060-2079, bnu_esm, Dec Anomaly, NPL
7.91887, 2060-2079, canesm2, Jan Anomaly, NPL
7.32131, 2060-2079, canesm2, Feb Anomaly, NPL
6.13003, 2060-2079, canesm2, Mar Anomaly, NPL
5.74351, 2060-2079, canesm2, Apr Anomaly, NPL
4.70658, 2060-2079, canesm2, May Anomaly, NPL
4.81, 2060-2079, canesm2, Jun Anomaly, NPL
4.51258, 2060-2079, canesm2, Jul Anomaly, NPL
3.83809, 2060-2079, canesm2, Aug Anomaly, NPL
4.51592, 2060-2079, canesm2, Sep Anomaly, NPL
5.62069, 2060-2079, canesm2, Oct Anomaly, NPL
6.32359, 2060-2079, canesm2, Nov Anomaly, NPL
7.45828, 2060-2079, canesm2, Dec Anomaly, NPL
4.71954, 2060-2079, ccsm4, Jan Anomaly, NPL
4.06122, 2060-2079, ccsm4, Feb Anomaly, NPL
4.11002, 2060-2079, ccsm4, Mar Anomaly, NPL
4.22035, 2060-2079, ccsm4, Apr Anomaly, NPL
4.62392, 2060-2079, ccsm4, May Anomaly, NPL
3.28739, 2060-2079, ccsm4, Jun Anomaly, NPL
2.98237, 2060-2079, ccsm4, Jul Anomaly, NPL
3.03917, 2060-2079, ccsm4, Aug Anomaly, NPL
3.16738, 2060-2079, ccsm4, Sep Anomaly, NPL
3.75576, 2060-2079, ccsm4, Oct Anomaly, NPL
3.80221, 2060-2079, ccsm4, Nov Anomaly, NPL
4.81592, 2060-2079, ccsm4, Dec Anomaly, NPL
3.62852, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
3.45603, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
4.54239, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
3.6174, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
3.7349, 2060-2079, cesm1_bgc, May Anomaly, NPL
3.23202, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
3.12845, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
2.8045, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
3.8443, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
3.90518, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
4.45222, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
4.17642, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
5.8065, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
5.63665, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
5.47317, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
4.17692, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
3.03909, 2060-2079, cesm1_cam5, May Anomaly, NPL
3.4596, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
3.53307, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
3.45634, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
4.14676, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
5.0908, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
4.91704, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
5.17737, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
5.42127, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
5.19472, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
5.94369, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
4.73253, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
4.92483, 2060-2079, cmcc_cesm, May Anomaly, NPL
3.92644, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
2.84048, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
3.22761, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
4.09559, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
3.52772, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
3.99876, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
4.83098, 2060-2079, cmcc_cesm, Dec Anomaly, NPL
5.86084, 2060-2079, cmcc_cm, Jan Anomaly, NPL
6.8478, 2060-2079, cmcc_cm, Feb Anomaly, NPL
6.49853, 2060-2079, cmcc_cm, Mar Anomaly, NPL
5.33586, 2060-2079, cmcc_cm, Apr Anomaly, NPL
5.55355, 2060-2079, cmcc_cm, May Anomaly, NPL
3.58492, 2060-2079, cmcc_cm, Jun Anomaly, NPL
3.0669, 2060-2079, cmcc_cm, Jul Anomaly, NPL
2.91218, 2060-2079, cmcc_cm, Aug Anomaly, NPL
3.59153, 2060-2079, cmcc_cm, Sep Anomaly, NPL
3.90344, 2060-2079, cmcc_cm, Oct Anomaly, NPL
4.28268, 2060-2079, cmcc_cm, Nov Anomaly, NPL
5.92583, 2060-2079, cmcc_cm, Dec Anomaly, NPL
6.31654, 2060-2079, cmcc_cms, Jan Anomaly, NPL
6.94716, 2060-2079, cmcc_cms, Feb Anomaly, NPL
5.63009, 2060-2079, cmcc_cms, Mar Anomaly, NPL
5.89921, 2060-2079, cmcc_cms, Apr Anomaly, NPL
4.82365, 2060-2079, cmcc_cms, May Anomaly, NPL
4.68812, 2060-2079, cmcc_cms, Jun Anomaly, NPL
3.72881, 2060-2079, cmcc_cms, Jul Anomaly, NPL
3.68295, 2060-2079, cmcc_cms, Aug Anomaly, NPL
