Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
1.43467, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.81006, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
2.23708, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
2.04446, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
1.97852, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
2.46014, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
2.64758, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
3.85927, 2080-2099, bnu_esm, Jan Anomaly, NPL
2.92824, 2080-2099, bnu_esm, Feb Anomaly, NPL
3.35955, 2080-2099, bnu_esm, Mar Anomaly, NPL
2.73509, 2080-2099, bnu_esm, Apr Anomaly, NPL
2.20091, 2080-2099, bnu_esm, May Anomaly, NPL
2.28004, 2080-2099, bnu_esm, Jun Anomaly, NPL
1.97981, 2080-2099, bnu_esm, Jul Anomaly, NPL
2.24694, 2080-2099, bnu_esm, Aug Anomaly, NPL
2.86404, 2080-2099, bnu_esm, Sep Anomaly, NPL
3.43677, 2080-2099, bnu_esm, Oct Anomaly, NPL
2.69316, 2080-2099, bnu_esm, Nov Anomaly, NPL
4.00304, 2080-2099, bnu_esm, Dec Anomaly, NPL
6.29365, 2080-2099, canesm2, Jan Anomaly, NPL
5.36447, 2080-2099, canesm2, Feb Anomaly, NPL
5.04684, 2080-2099, canesm2, Mar Anomaly, NPL
3.90271, 2080-2099, canesm2, Apr Anomaly, NPL
4.57696, 2080-2099, canesm2, May Anomaly, NPL
3.25309, 2080-2099, canesm2, Jun Anomaly, NPL
3.02059, 2080-2099, canesm2, Jul Anomaly, NPL
2.64761, 2080-2099, canesm2, Aug Anomaly, NPL
3.17841, 2080-2099, canesm2, Sep Anomaly, NPL
4.41341, 2080-2099, canesm2, Oct Anomaly, NPL
4.17288, 2080-2099, canesm2, Nov Anomaly, NPL
5.91438, 2080-2099, canesm2, Dec Anomaly, NPL
2.16701, 2080-2099, ccsm4, Jan Anomaly, NPL
2.7044, 2080-2099, ccsm4, Feb Anomaly, NPL
3.5137, 2080-2099, ccsm4, Mar Anomaly, NPL
2.92548, 2080-2099, ccsm4, Apr Anomaly, NPL
2.1141, 2080-2099, ccsm4, May Anomaly, NPL
1.61127, 2080-2099, ccsm4, Jun Anomaly, NPL
1.67229, 2080-2099, ccsm4, Jul Anomaly, NPL
1.72407, 2080-2099, ccsm4, Aug Anomaly, NPL
1.58558, 2080-2099, ccsm4, Sep Anomaly, NPL
2.25018, 2080-2099, ccsm4, Oct Anomaly, NPL
1.70108, 2080-2099, ccsm4, Nov Anomaly, NPL
2.26503, 2080-2099, ccsm4, Dec Anomaly, NPL
2.6311, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
2.06075, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
2.88189, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
2.12543, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
1.92769, 2080-2099, cesm1_bgc, May Anomaly, NPL
1.58151, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
1.51809, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
1.62438, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
2.56324, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
2.15678, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
2.34397, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
2.16162, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
4.05959, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
4.16462, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
3.15051, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
2.66808, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
2.54108, 2080-2099, cesm1_cam5, May Anomaly, NPL
2.89916, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
2.43455, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
2.44612, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
2.7225, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
2.88732, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
3.5705, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
3.00263, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
3.26394, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
3.81704, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
3.29003, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
2.81477, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
4.0614, 2080-2099, cnrm_cm5, May Anomaly, NPL
3.1827, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
2.54334, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
2.56385, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
2.84251, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
3.35587, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
