Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
1.65444, 2040-2059, access1_0, Jan Anomaly, NPL
2.04399, 2040-2059, access1_0, Feb Anomaly, NPL
2.02332, 2040-2059, access1_0, Mar Anomaly, NPL
1.76738, 2040-2059, access1_0, Apr Anomaly, NPL
1.48535, 2040-2059, access1_0, May Anomaly, NPL
1.81835, 2040-2059, access1_0, Jun Anomaly, NPL
1.35878, 2040-2059, access1_0, Jul Anomaly, NPL
1.47885, 2040-2059, access1_0, Aug Anomaly, NPL
2.44273, 2040-2059, access1_0, Sep Anomaly, NPL
2.24616, 2040-2059, access1_0, Oct Anomaly, NPL
1.0619, 2040-2059, access1_0, Nov Anomaly, NPL
2.20523, 2040-2059, access1_0, Dec Anomaly, NPL
1.83943, 2040-2059, access1_3, Jan Anomaly, NPL
1.49702, 2040-2059, access1_3, Feb Anomaly, NPL
0.90008, 2040-2059, access1_3, Mar Anomaly, NPL
1.7737, 2040-2059, access1_3, Apr Anomaly, NPL
1.15675, 2040-2059, access1_3, May Anomaly, NPL
1.13318, 2040-2059, access1_3, Jun Anomaly, NPL
1.62596, 2040-2059, access1_3, Jul Anomaly, NPL
1.47139, 2040-2059, access1_3, Aug Anomaly, NPL
2.36318, 2040-2059, access1_3, Sep Anomaly, NPL
1.52129, 2040-2059, access1_3, Oct Anomaly, NPL
1.86032, 2040-2059, access1_3, Nov Anomaly, NPL
2.13732, 2040-2059, access1_3, Dec Anomaly, NPL
2.82239, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
1.75287, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
2.62751, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.79146, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.70201, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.20573, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.98988, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.13895, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.22027, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.34521, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
2.13167, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
2.99997, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
1.41955, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.91875, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.31941, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.83363, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.27719, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.05485, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.24269, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.60601, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
1.16592, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.6454, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
1.84369, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
3.38342, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
2.57346, 2040-2059, bnu_esm, Jan Anomaly, NPL
2.69487, 2040-2059, bnu_esm, Feb Anomaly, NPL
2.4692, 2040-2059, bnu_esm, Mar Anomaly, NPL
2.38984, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.12663, 2040-2059, bnu_esm, May Anomaly, NPL
1.51706, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.9534, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.65087, 2040-2059, bnu_esm, Aug Anomaly, NPL
2.22394, 2040-2059, bnu_esm, Sep Anomaly, NPL
1.985, 2040-2059, bnu_esm, Oct Anomaly, NPL
1.65385, 2040-2059, bnu_esm, Nov Anomaly, NPL
2.16195, 2040-2059, bnu_esm, Dec Anomaly, NPL
5.53502, 2040-2059, canesm2, Jan Anomaly, NPL
4.8187, 2040-2059, canesm2, Feb Anomaly, NPL
4.10085, 2040-2059, canesm2, Mar Anomaly, NPL
2.61786, 2040-2059, canesm2, Apr Anomaly, NPL
2.36014, 2040-2059, canesm2, May Anomaly, NPL
2.41499, 2040-2059, canesm2, Jun Anomaly, NPL
2.4154, 2040-2059, canesm2, Jul Anomaly, NPL
2.35897, 2040-2059, canesm2, Aug Anomaly, NPL
2.82415, 2040-2059, canesm2, Sep Anomaly, NPL
2.81102, 2040-2059, canesm2, Oct Anomaly, NPL
3.80499, 2040-2059, canesm2, Nov Anomaly, NPL
5.21816, 2040-2059, canesm2, Dec Anomaly, NPL
1.04295, 2040-2059, ccsm4, Jan Anomaly, NPL
1.31785, 2040-2059, ccsm4, Feb Anomaly, NPL
1.69137, 2040-2059, ccsm4, Mar Anomaly, NPL
2.05433, 2040-2059, ccsm4, Apr Anomaly, NPL
1.60974, 2040-2059, ccsm4, May Anomaly, NPL
1.57823, 2040-2059, ccsm4, Jun Anomaly, NPL
1.12204, 2040-2059, ccsm4, Jul Anomaly, NPL
1.47978, 2040-2059, ccsm4, Aug Anomaly, NPL
0.94594, 2040-2059, ccsm4, Sep Anomaly, NPL
1.41608, 2040-2059, ccsm4, Oct Anomaly, NPL
1.29729, 2040-2059, ccsm4, Nov Anomaly, NPL
1.96821, 2040-2059, ccsm4, Dec Anomaly, NPL
2.10862, 2040-2059, cesm1_bgc, Jan Anomaly, NPL
1.32429, 2040-2059, cesm1_bgc, Feb Anomaly, NPL
1.9661, 2040-2059, cesm1_bgc, Mar Anomaly, NPL
1.02455, 2040-2059, cesm1_bgc, Apr Anomaly, NPL
1.56099, 2040-2059, cesm1_bgc, May Anomaly, NPL
0.90262, 2040-2059, cesm1_bgc, Jun Anomaly, NPL
1.38087, 2040-2059, cesm1_bgc, Jul Anomaly, NPL
1.24936, 2040-2059, cesm1_bgc, Aug Anomaly, NPL
1.69037, 2040-2059, cesm1_bgc, Sep Anomaly, NPL
1.71635, 2040-2059, cesm1_bgc, Oct Anomaly, NPL
2.29323, 2040-2059, cesm1_bgc, Nov Anomaly, NPL
1.15669, 2040-2059, cesm1_bgc, Dec Anomaly, NPL
2.4592, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
3.07726, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
2.80454, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
2.34593, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
1.00486, 2040-2059, cesm1_cam5, May Anomaly, NPL
1.69432, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
1.81556, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
1.48132, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.13784, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
2.24801, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
2.74404, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
1.90632, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
1.53577, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
2.46075, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
3.00648, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
2.21231, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
2.50555, 2040-2059, cnrm_cm5, May Anomaly, NPL
1.98859, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
1.58531, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
1.37163, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
1.47745, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
