Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
1.47249, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0292, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
1.02128, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.40323, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
1.76106, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.02433, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.76058, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.75848, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.36775, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.21607, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
1.64223, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.63355, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
1.45433, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.45351, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.2134, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
1.12445, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.7151, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.17421, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.509, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.52158, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.71376, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.81845, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.56157, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
1.66599, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
2.24694, 2020-2039, bnu_esm, Jan Anomaly, NPL
1.91314, 2020-2039, bnu_esm, Feb Anomaly, NPL
2.35013, 2020-2039, bnu_esm, Mar Anomaly, NPL
2.51024, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.11105, 2020-2039, bnu_esm, May Anomaly, NPL
0.9778, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.63943, 2020-2039, bnu_esm, Jul Anomaly, NPL
1.15858, 2020-2039, bnu_esm, Aug Anomaly, NPL
1.19121, 2020-2039, bnu_esm, Sep Anomaly, NPL
1.09668, 2020-2039, bnu_esm, Oct Anomaly, NPL
1.52897, 2020-2039, bnu_esm, Nov Anomaly, NPL
1.95519, 2020-2039, bnu_esm, Dec Anomaly, NPL
1.97877, 2020-2039, canesm2, Jan Anomaly, NPL
2.02902, 2020-2039, canesm2, Feb Anomaly, NPL
1.74035, 2020-2039, canesm2, Mar Anomaly, NPL
1.69456, 2020-2039, canesm2, Apr Anomaly, NPL
2.29605, 2020-2039, canesm2, May Anomaly, NPL
1.97093, 2020-2039, canesm2, Jun Anomaly, NPL
2.14836, 2020-2039, canesm2, Jul Anomaly, NPL
1.29397, 2020-2039, canesm2, Aug Anomaly, NPL
1.57256, 2020-2039, canesm2, Sep Anomaly, NPL
1.99296, 2020-2039, canesm2, Oct Anomaly, NPL
2.12918, 2020-2039, canesm2, Nov Anomaly, NPL
1.06175, 2020-2039, canesm2, Dec Anomaly, NPL
0.92881, 2020-2039, ccsm4, Jan Anomaly, NPL
0.76847, 2020-2039, ccsm4, Feb Anomaly, NPL
1.47604, 2020-2039, ccsm4, Mar Anomaly, NPL
1.80078, 2020-2039, ccsm4, Apr Anomaly, NPL
2.12216, 2020-2039, ccsm4, May Anomaly, NPL
1.52379, 2020-2039, ccsm4, Jun Anomaly, NPL
0.86974, 2020-2039, ccsm4, Jul Anomaly, NPL
1.08633, 2020-2039, ccsm4, Aug Anomaly, NPL
1.0211, 2020-2039, ccsm4, Sep Anomaly, NPL
1.00418, 2020-2039, ccsm4, Oct Anomaly, NPL
1.13527, 2020-2039, ccsm4, Nov Anomaly, NPL
0.39972, 2020-2039, ccsm4, Dec Anomaly, NPL
2.04775, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
2.20412, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
1.95499, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.92972, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
1.07716, 2020-2039, cesm1_cam5, May Anomaly, NPL
1.56519, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
1.16581, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
1.09025, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
1.79051, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
1.8067, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
1.56732, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
0.86023, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
0.62328, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
1.59689, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
1.76766, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
2.07503, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
1.89751, 2020-2039, cnrm_cm5, May Anomaly, NPL
1.39238, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
0.73384, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
0.20709, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
0.45395, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
1.10108, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
1.94475, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
0.83312, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
2.03149, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
2.61741, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
2.49142, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
1.76362, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
1.31779, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
1.76234, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
1.16817, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
1.0883, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
1.51858, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
1.2846, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
1.19117, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
2.26081, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
2.09557, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
1.0572, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
1.55783, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
1.88272, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
2.32983, 2020-2039, gfdl_cm3, May Anomaly, NPL
3.49231, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
2.53242, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
2.17021, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
1.15794, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
1.70657, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
1.05248, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
2.34989, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
0.47648, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
0.48096, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
1.69678, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.10109, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
0.03499, 2020-2039, gfdl_esm2g, May Anomaly, NPL
0.3098, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.78746, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.15843, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
1.13327, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
0.24229, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
1.08041, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
0.63461, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
0.43764, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
0.35987, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.31634, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
1.11506, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
