Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
3.60336, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
2.69497, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
3.71877, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
2.82872, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.87608, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.25179, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.40369, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.58406, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.47713, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.78333, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
2.91505, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
3.21644, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
3.38775, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.74375, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
1.1655, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.84093, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.89277, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.28213, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.17416, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.74521, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.34141, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.75, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
3.1352, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
2.76613, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
3.26409, 2060-2079, ccsm4, Jan Anomaly, NPL
2.31305, 2060-2079, ccsm4, Feb Anomaly, NPL
2.92334, 2060-2079, ccsm4, Mar Anomaly, NPL
3.67684, 2060-2079, ccsm4, Apr Anomaly, NPL
3.37601, 2060-2079, ccsm4, May Anomaly, NPL
2.72526, 2060-2079, ccsm4, Jun Anomaly, NPL
2.00865, 2060-2079, ccsm4, Jul Anomaly, NPL
2.48137, 2060-2079, ccsm4, Aug Anomaly, NPL
2.07981, 2060-2079, ccsm4, Sep Anomaly, NPL
2.86627, 2060-2079, ccsm4, Oct Anomaly, NPL
3.16549, 2060-2079, ccsm4, Nov Anomaly, NPL
3.56049, 2060-2079, ccsm4, Dec Anomaly, NPL
4.10456, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
4.18198, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
4.47418, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
4.25009, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
3.00647, 2060-2079, cesm1_cam5, May Anomaly, NPL
2.79421, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
2.82517, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
2.68882, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
3.39754, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
3.72786, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
4.05665, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
3.7469, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
3.42763, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
3.2852, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
3.55243, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.74921, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
2.45219, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
2.79154, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
2.22297, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
2.18517, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
2.40493, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
2.29198, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
2.13149, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
3.19212, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
4.16446, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
3.61488, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
3.65367, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
4.33844, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
4.67806, 2060-2079, gfdl_cm3, May Anomaly, NPL
6.51901, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
5.47434, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
5.81402, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
4.97364, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
4.07682, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
3.37019, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
4.95204, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
1.93711, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
1.96833, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
2.25609, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
1.71364, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
2.18144, 2060-2079, gfdl_esm2g, May Anomaly, NPL
2.29133, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
2.01993, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
1.17911, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
1.84235, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
1.95421, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
1.805, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.6309, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
1.56576, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
1.01665, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
2.00431, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
2.36928, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
4.01413, 2060-2079, gfdl_esm2m, May Anomaly, NPL
1.58394, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
1.61003, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
1.53682, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
2.34152, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
2.42055, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
1.55685, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
1.09793, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
1.69947, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
1.93882, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
3.14771, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
2.29426, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
2.3504, 2060-2079, hadgem2_ao, May Anomaly, NPL
1.69945, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
1.48194, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
1.3294, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
2.69363, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
1.47313, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
2.31634, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
2.51094, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
2.86399, 2060-2079, hadgem2_es, Jan Anomaly, NPL
2.63466, 2060-2079, hadgem2_es, Feb Anomaly, NPL
3.18047, 2060-2079, hadgem2_es, Mar Anomaly, NPL
2.81508, 2060-2079, hadgem2_es, Apr Anomaly, NPL
2.11759, 2060-2079, hadgem2_es, May Anomaly, NPL
1.51735, 2060-2079, hadgem2_es, Jun Anomaly, NPL
2.19282, 2060-2079, hadgem2_es, Jul Anomaly, NPL
1.92172, 2060-2079, hadgem2_es, Aug Anomaly, NPL
2.50011, 2060-2079, hadgem2_es, Sep Anomaly, NPL
2.59696, 2060-2079, hadgem2_es, Oct Anomaly, NPL
2.2199, 2060-2079, hadgem2_es, Nov Anomaly, NPL
1.95993, 2060-2079, hadgem2_es, Dec Anomaly, NPL
4.27329, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
4.05918, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
3.93571, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
2.75695, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
2.62498, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
2.79948, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
2.30348, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
1.96409, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
3.00962, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
3.34663, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
4.35192, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
4.57215, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
4.07125, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
4.10394, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
4.36774, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
3.19853, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
3.20644, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
2.77073, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
2.74724, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
2.22505, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
2.72903, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
3.18713, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
3.3232, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
3.18499, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
2.72747, 2060-2079, miroc5, Jan Anomaly, NPL
3.90263, 2060-2079, miroc5, Feb Anomaly, NPL
3.43767, 2060-2079, miroc5, Mar Anomaly, NPL
2.94065, 2060-2079, miroc5, Apr Anomaly, NPL
3.57292, 2060-2079, miroc5, May Anomaly, NPL
2.99055, 2060-2079, miroc5, Jun Anomaly, NPL
1.58922, 2060-2079, miroc5, Jul Anomaly, NPL
1.39918, 2060-2079, miroc5, Aug Anomaly, NPL
1.85594, 2060-2079, miroc5, Sep Anomaly, NPL
2.08234, 2060-2079, miroc5, Oct Anomaly, NPL
2.14534, 2060-2079, miroc5, Nov Anomaly, NPL
2.32412, 2060-2079, miroc5, Dec Anomaly, NPL
4.84137, 2060-2079, miroc_esm_chem, Jan Anomaly, NPL
4.62765, 2060-2079, miroc_esm_chem, Feb Anomaly, NPL
3.83598, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
4.34965, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
4.56212, 2060-2079, miroc_esm_chem, May Anomaly, NPL
