Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.4858452, 2040-2059, bcc_csm1_1, Jan Anomaly, Nepal, NPL
1.2772667, 2040-2059, bcc_csm1_1, Feb Anomaly, Nepal, NPL
-0.029654907, 2040-2059, bcc_csm1_1, Mar Anomaly, Nepal, NPL
1.1164495, 2040-2059, bcc_csm1_1, Apr Anomaly, Nepal, NPL
1.589419, 2040-2059, bcc_csm1_1, May Anomaly, Nepal, NPL
0.9758731, 2040-2059, bcc_csm1_1, Jun Anomaly, Nepal, NPL
0.8400485, 2040-2059, bcc_csm1_1, Jul Anomaly, Nepal, NPL
1.0085913, 2040-2059, bcc_csm1_1, Aug Anomaly, Nepal, NPL
1.2489682, 2040-2059, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.2018511, 2040-2059, bcc_csm1_1, Oct Anomaly, Nepal, NPL
1.1495816, 2040-2059, bcc_csm1_1, Nov Anomaly, Nepal, NPL
0.9267385, 2040-2059, bcc_csm1_1, Dec Anomaly, Nepal, NPL
1.4792007, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
1.1470279, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
1.418112, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
1.6830581, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
1.9194893, 2040-2059, bcc_csm1_1_m, May Anomaly, Nepal, NPL
1.7733163, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
1.2984219, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
1.1024263, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
0.776786, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
1.5903181, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
1.5397677, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
1.9943116, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
2.064, 2040-2059, ccsm4, Jan Anomaly, Nepal, NPL
1.2699364, 2040-2059, ccsm4, Feb Anomaly, Nepal, NPL
