Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
3.686412, 2080-2099, bcc_csm1_1, Jan Average, Nepal, NPL
4.717675, 2080-2099, bcc_csm1_1, Feb Average, Nepal, NPL
8.667334, 2080-2099, bcc_csm1_1, Mar Average, Nepal, NPL
13.873955, 2080-2099, bcc_csm1_1, Apr Average, Nepal, NPL
17.634953, 2080-2099, bcc_csm1_1, May Average, Nepal, NPL
20.803669, 2080-2099, bcc_csm1_1, Jun Average, Nepal, NPL
20.390093, 2080-2099, bcc_csm1_1, Jul Average, Nepal, NPL
19.390236, 2080-2099, bcc_csm1_1, Aug Average, Nepal, NPL
17.640265, 2080-2099, bcc_csm1_1, Sep Average, Nepal, NPL
15.301253, 2080-2099, bcc_csm1_1, Oct Average, Nepal, NPL
10.698321, 2080-2099, bcc_csm1_1, Nov Average, Nepal, NPL
6.1458797, 2080-2099, bcc_csm1_1, Dec Average, Nepal, NPL
10.2641945, 2080-2099, bcc_csm1_1_m, Jan Average, Nepal, NPL
11.806341, 2080-2099, bcc_csm1_1_m, Feb Average, Nepal, NPL
15.898713, 2080-2099, bcc_csm1_1_m, Mar Average, Nepal, NPL
21.434095, 2080-2099, bcc_csm1_1_m, Apr Average, Nepal, NPL
24.598495, 2080-2099, bcc_csm1_1_m, May Average, Nepal, NPL
27.16976, 2080-2099, bcc_csm1_1_m, Jun Average, Nepal, NPL
25.322554, 2080-2099, bcc_csm1_1_m, Jul Average, Nepal, NPL
24.009115, 2080-2099, bcc_csm1_1_m, Aug Average, Nepal, NPL
22.74494, 2080-2099, bcc_csm1_1_m, Sep Average, Nepal, NPL
20.762941, 2080-2099, bcc_csm1_1_m, Oct Average, Nepal, NPL
16.004065, 2080-2099, bcc_csm1_1_m, Nov Average, Nepal, NPL
12.381156, 2080-2099, bcc_csm1_1_m, Dec Average, Nepal, NPL
9.628101, 2080-2099, ccsm4, Jan Average, Nepal, NPL
11.173229, 2080-2099, ccsm4, Feb Average, Nepal, NPL
15.495041, 2080-2099, ccsm4, Mar Average, Nepal, NPL
21.29255, 2080-2099, ccsm4, Apr Average, Nepal, NPL
26.43734, 2080-2099, ccsm4, May Average, Nepal, NPL
27.082386, 2080-2099, ccsm4, Jun Average, Nepal, NPL
25.962513, 2080-2099, ccsm4, Jul Average, Nepal, NPL
