Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
66.1163, 2060-2079, access1_0, Annual Anomaly, NPL
62.0891, 2060-2079, access1_3, Annual Anomaly, NPL
96.171, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
52.1725, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
63.2262, 2060-2079, bnu_esm, Annual Anomaly, NPL
77.1926, 2060-2079, canesm2, Annual Anomaly, NPL
159.472, 2060-2079, ccsm4, Annual Anomaly, NPL
125.019, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
199.965, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-34.955, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
14.9595, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
49.8473, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
31.743, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
16.3168, 2060-2079, inmcm4, Annual Anomaly, NPL
34.2165, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
50.0587, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
8.07917, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
82.9698, 2060-2079, miroc5, Annual Anomaly, NPL
32.0219, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
13.3688, 2060-2079, miroc_esm, Annual Anomaly, NPL
23.1683, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
25.7459, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
3.96741, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
84.3374, 2060-2079, noresm1_m, Annual Anomaly, NPL
-105.45, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
36.5706, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
521.856, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
