Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
69.7018, 2060-2079, access1_0, Annual Anomaly, NPL
137.759, 2060-2079, access1_3, Annual Anomaly, NPL
63.3127, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
71.8293, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
79.3915, 2060-2079, bnu_esm, Annual Anomaly, NPL
107.246, 2060-2079, canesm2, Annual Anomaly, NPL
125.4, 2060-2079, ccsm4, Annual Anomaly, NPL
55.7204, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
176.594, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-0.4987, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
216.64, 2060-2079, cmcc_cm, Annual Anomaly, NPL
60.5117, 2060-2079, cmcc_cms, Annual Anomaly, NPL
34.3229, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
14.4418, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
113.195, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
65.7709, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
64.1955, 2060-2079, hadgem2_es, Annual Anomaly, NPL
20.2686, 2060-2079, inmcm4, Annual Anomaly, NPL
57.4125, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
91.4321, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-9.5794, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
75.9733, 2060-2079, miroc5, Annual Anomaly, NPL
69.801, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
43.364, 2060-2079, miroc_esm, Annual Anomaly, NPL
46.2648, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-22.868, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
69.3324, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
49.9175, 2060-2079, mri_esm1, Annual Anomaly, NPL
141.795, 2060-2079, noresm1_m, Annual Anomaly, NPL
-95.596, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
71.0107, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
487.815, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
