Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
38.6242, 2040-2059, access1_0, Annual Anomaly, NPL
78.1498, 2040-2059, access1_3, Annual Anomaly, NPL
42.5773, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
61.0491, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
29.3276, 2040-2059, bnu_esm, Annual Anomaly, NPL
70.6449, 2040-2059, canesm2, Annual Anomaly, NPL
153.026, 2040-2059, ccsm4, Annual Anomaly, NPL
49.581, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
148.662, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
3.18397, 2040-2059, cmcc_cesm, Annual Anomaly, NPL
94.3283, 2040-2059, cmcc_cm, Annual Anomaly, NPL
85.8645, 2040-2059, cmcc_cms, Annual Anomaly, NPL
47.3908, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
14.2034, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
55.6567, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
48.5467, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
28.2345, 2040-2059, hadgem2_es, Annual Anomaly, NPL
11.6174, 2040-2059, inmcm4, Annual Anomaly, NPL
29.5541, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
66.2425, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-8.9635, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
44.8506, 2040-2059, miroc5, Annual Anomaly, NPL
37.7047, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
9.27472, 2040-2059, miroc_esm, Annual Anomaly, NPL
7.19325, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-36.65, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
28.5044, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
29.4581, 2040-2059, mri_esm1, Annual Anomaly, NPL
78.3493, 2040-2059, noresm1_m, Annual Anomaly, NPL
-101.22, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
39.6299, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
470.141, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
