Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.02942, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
0.02672, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
0.03855, 2060-2079, bnu_esm, Annual Anomaly, NPL
0.04969, 2060-2079, canesm2, Annual Anomaly, NPL
0.05585, 2060-2079, ccsm4, Annual Anomaly, NPL
0.07914, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
0.03969, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
0.09469, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.18428, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.01281, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
0.03456, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
0.03236, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
0.13216, 2060-2079, hadgem2_es, Annual Anomaly, NPL
0.07373, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
0.05794, 2060-2079, miroc5, Annual Anomaly, NPL
0.07842, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
0.04874, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.04211, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
0.03945, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
0.04751, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.03646, 2060-2079, noresm1_m, Annual Anomaly, NPL
0.01975, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.04373, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.11291, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
