Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.03093, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.01894, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.02898, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.03687, 2080-2099, canesm2, Annual Anomaly, NPL
0.04949, 2080-2099, ccsm4, Annual Anomaly, NPL
0.08034, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.04846, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.10139, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.18823, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.02379, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.03625, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.0403, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
0.13793, 2080-2099, hadgem2_es, Annual Anomaly, NPL
0.06101, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
0.05221, 2080-2099, miroc5, Annual Anomaly, NPL
0.07783, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.06342, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.03405, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
0.03345, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.05223, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.03605, 2080-2099, noresm1_m, Annual Anomaly, NPL
0.02052, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.04219, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.11611, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
