Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.01894, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
0.01496, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
0.02803, 2020-2039, bnu_esm, Annual Anomaly, NPL
0.01864, 2020-2039, canesm2, Annual Anomaly, NPL
0.04717, 2020-2039, ccsm4, Annual Anomaly, NPL
0.04098, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
0.01695, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
0.06953, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
0.1009, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
0.02517, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
0.03367, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
0.00246, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
0.09785, 2020-2039, hadgem2_es, Annual Anomaly, NPL
0.03888, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
0.03294, 2020-2039, miroc5, Annual Anomaly, NPL
0.05983, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
0.02847, 2020-2039, miroc_esm, Annual Anomaly, NPL
0.03662, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
0.03465, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
0.03543, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
0.01952, 2020-2039, noresm1_m, Annual Anomaly, NPL
0.00752, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.03081, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
0.08083, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
