Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.23182, 2060-2079, access1_0, Annual Anomaly, NPL
0.18502, 2060-2079, access1_3, Annual Anomaly, NPL
0.09516, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
0.07911, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
0.11606, 2060-2079, bnu_esm, Annual Anomaly, NPL
0.13869, 2060-2079, canesm2, Annual Anomaly, NPL
0.16487, 2060-2079, ccsm4, Annual Anomaly, NPL
0.14905, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
0.21277, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
0.21133, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
0.15464, 2060-2079, cmcc_cm, Annual Anomaly, NPL
0.19122, 2060-2079, cmcc_cms, Annual Anomaly, NPL
0.12654, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
0.15801, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.3094, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.13025, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
0.10089, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
0.1655, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
0.30057, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
0.30127, 2060-2079, hadgem2_es, Annual Anomaly, NPL
0.16444, 2060-2079, inmcm4, Annual Anomaly, NPL
0.20271, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.26947, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
0.12327, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
0.12444, 2060-2079, miroc5, Annual Anomaly, NPL
0.28382, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
0.21454, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.16404, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
0.18175, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
0.1047, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.09674, 2060-2079, mri_esm1, Annual Anomaly, NPL
0.11967, 2060-2079, noresm1_m, Annual Anomaly, NPL
0.0896, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.16241, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.27958, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
