Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.1395, 2040-2059, access1_0, Annual Anomaly, NPL
0.1193, 2040-2059, access1_3, Annual Anomaly, NPL
0.06547, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.04525, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
0.05991, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.08673, 2040-2059, canesm2, Annual Anomaly, NPL
0.09536, 2040-2059, ccsm4, Annual Anomaly, NPL
0.08632, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
0.13125, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
0.1207, 2040-2059, cmcc_cesm, Annual Anomaly, NPL
0.09705, 2040-2059, cmcc_cm, Annual Anomaly, NPL
0.10414, 2040-2059, cmcc_cms, Annual Anomaly, NPL
0.06722, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
0.08428, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
0.22515, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
0.07967, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
0.05991, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
0.07322, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
0.19021, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
0.19301, 2040-2059, hadgem2_es, Annual Anomaly, NPL
0.07256, 2040-2059, inmcm4, Annual Anomaly, NPL
0.11472, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.13215, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.07914, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
0.07855, 2040-2059, miroc5, Annual Anomaly, NPL
0.14435, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.08808, 2040-2059, miroc_esm, Annual Anomaly, NPL
0.09391, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
0.09954, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
0.07787, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
0.06795, 2040-2059, mri_esm1, Annual Anomaly, NPL
0.04984, 2040-2059, noresm1_m, Annual Anomaly, NPL
0.04853, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.08913, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.16733, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
