Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
2.31262, 2080-2099, access1_0, Jan Anomaly, NPL
3.95618, 2080-2099, access1_0, Feb Anomaly, NPL
6.03462, 2080-2099, access1_0, Mar Anomaly, NPL
3.15134, 2080-2099, access1_0, Apr Anomaly, NPL
2.01655, 2080-2099, access1_0, May Anomaly, NPL
1.67496, 2080-2099, access1_0, Jun Anomaly, NPL
2.14152, 2080-2099, access1_0, Jul Anomaly, NPL
2.21128, 2080-2099, access1_0, Aug Anomaly, NPL
2.72761, 2080-2099, access1_0, Sep Anomaly, NPL
5.89602, 2080-2099, access1_0, Oct Anomaly, NPL
5.64983, 2080-2099, access1_0, Nov Anomaly, NPL
2.85672, 2080-2099, access1_0, Dec Anomaly, NPL
0.32583, 2080-2099, access1_3, Jan Anomaly, NPL
1.89833, 2080-2099, access1_3, Feb Anomaly, NPL
5.50564, 2080-2099, access1_3, Mar Anomaly, NPL
4.34585, 2080-2099, access1_3, Apr Anomaly, NPL
2.56238, 2080-2099, access1_3, May Anomaly, NPL
1.35917, 2080-2099, access1_3, Jun Anomaly, NPL
1.32334, 2080-2099, access1_3, Jul Anomaly, NPL
1.16402, 2080-2099, access1_3, Aug Anomaly, NPL
2.21356, 2080-2099, access1_3, Sep Anomaly, NPL
4.30949, 2080-2099, access1_3, Oct Anomaly, NPL
3.67697, 2080-2099, access1_3, Nov Anomaly, NPL
0.77917, 2080-2099, access1_3, Dec Anomaly, NPL
0.62666, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.99578, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
3.02552, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
2.57205, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
1.01399, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.44454, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
2.36542, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
2.99833, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
1.96386, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
1.72235, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
3.68442, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
1.44576, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.16449, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.48326, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
2.37041, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
3.16823, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
1.53268, 2080-2099, bcc_csm1_1, May Anomaly, NPL
1.11077, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.14349, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.81282, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.93216, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
2.55118, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
1.74916, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.32934, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
1.45959, 2080-2099, bnu_esm, Jan Anomaly, NPL
2.15432, 2080-2099, bnu_esm, Feb Anomaly, NPL
4.92808, 2080-2099, bnu_esm, Mar Anomaly, NPL
2.5301, 2080-2099, bnu_esm, Apr Anomaly, NPL
1.40683, 2080-2099, bnu_esm, May Anomaly, NPL
2.55367, 2080-2099, bnu_esm, Jun Anomaly, NPL
2.02565, 2080-2099, bnu_esm, Jul Anomaly, NPL
1.15368, 2080-2099, bnu_esm, Aug Anomaly, NPL
