Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
0.34771, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.70837, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
3.3633, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.51639, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
1.21717, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.58833, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.87194, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.58702, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.12063, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
2.03364, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
1.4407, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
0.9276, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.08987, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.09367, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.75224, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
2.6294, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.14813, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.85341, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.04533, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.20903, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.6514, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.39581, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.50831, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.00121, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.52027, 2040-2059, ccsm4, Jan Anomaly, NPL
0.60542, 2040-2059, ccsm4, Feb Anomaly, NPL
3.72729, 2040-2059, ccsm4, Mar Anomaly, NPL
1.71607, 2040-2059, ccsm4, Apr Anomaly, NPL
0.97818, 2040-2059, ccsm4, May Anomaly, NPL
1.70166, 2040-2059, ccsm4, Jun Anomaly, NPL
2.32442, 2040-2059, ccsm4, Jul Anomaly, NPL
1.64547, 2040-2059, ccsm4, Aug Anomaly, NPL
1.99792, 2040-2059, ccsm4, Sep Anomaly, NPL
1.55511, 2040-2059, ccsm4, Oct Anomaly, NPL
0.89194, 2040-2059, ccsm4, Nov Anomaly, NPL
0.65191, 2040-2059, ccsm4, Dec Anomaly, NPL
1.19901, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
2.0196, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
1.7302, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.0776, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
0.64128, 2040-2059, cesm1_cam5, May Anomaly, NPL
2.83664, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
3.4454, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
2.5041, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.4662, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
0.87377, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
1.935, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
1.40975, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
