Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
0.94038, 2040-2059, access1_0, Jan Anomaly, NPL
1.59296, 2040-2059, access1_0, Feb Anomaly, NPL
3.56301, 2040-2059, access1_0, Mar Anomaly, NPL
1.74534, 2040-2059, access1_0, Apr Anomaly, NPL
1.01495, 2040-2059, access1_0, May Anomaly, NPL
0.75011, 2040-2059, access1_0, Jun Anomaly, NPL
1.35498, 2040-2059, access1_0, Jul Anomaly, NPL
1.36946, 2040-2059, access1_0, Aug Anomaly, NPL
1.73426, 2040-2059, access1_0, Sep Anomaly, NPL
3.50933, 2040-2059, access1_0, Oct Anomaly, NPL
2.65234, 2040-2059, access1_0, Nov Anomaly, NPL
0.94595, 2040-2059, access1_0, Dec Anomaly, NPL
0.11145, 2040-2059, access1_3, Jan Anomaly, NPL
0.33763, 2040-2059, access1_3, Feb Anomaly, NPL
2.16226, 2040-2059, access1_3, Mar Anomaly, NPL
2.3318, 2040-2059, access1_3, Apr Anomaly, NPL
1.33526, 2040-2059, access1_3, May Anomaly, NPL
0.68786, 2040-2059, access1_3, Jun Anomaly, NPL
0.86905, 2040-2059, access1_3, Jul Anomaly, NPL
0.89284, 2040-2059, access1_3, Aug Anomaly, NPL
1.47458, 2040-2059, access1_3, Sep Anomaly, NPL
2.28241, 2040-2059, access1_3, Oct Anomaly, NPL
1.22967, 2040-2059, access1_3, Nov Anomaly, NPL
0.3266, 2040-2059, access1_3, Dec Anomaly, NPL
0.39483, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.70233, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
3.67382, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.61507, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
1.41183, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.32713, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.54813, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.90792, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.56426, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.29107, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
1.7627, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
0.89931, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.11205, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.04662, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
2.00863, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
3.00797, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.10755, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.61937, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.5578, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
