Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-104.81, 2040-2059, access1_0, Jan Anomaly, NPL
-102.52, 2040-2059, access1_0, Feb Anomaly, NPL
-100.44, 2040-2059, access1_0, Mar Anomaly, NPL
-53.993, 2040-2059, access1_0, Apr Anomaly, NPL
-28.063, 2040-2059, access1_0, May Anomaly, NPL
-23.244, 2040-2059, access1_0, Jun Anomaly, NPL
-22.275, 2040-2059, access1_0, Jul Anomaly, NPL
-23.786, 2040-2059, access1_0, Aug Anomaly, NPL
-40.915, 2040-2059, access1_0, Sep Anomaly, NPL
-63.091, 2040-2059, access1_0, Oct Anomaly, NPL
-83.009, 2040-2059, access1_0, Nov Anomaly, NPL
-97.605, 2040-2059, access1_0, Dec Anomaly, NPL
-89.309, 2040-2059, access1_3, Jan Anomaly, NPL
-63.065, 2040-2059, access1_3, Feb Anomaly, NPL
-58.397, 2040-2059, access1_3, Mar Anomaly, NPL
-43.81, 2040-2059, access1_3, Apr Anomaly, NPL
-35.137, 2040-2059, access1_3, May Anomaly, NPL
-30.309, 2040-2059, access1_3, Jun Anomaly, NPL
-29.608, 2040-2059, access1_3, Jul Anomaly, NPL
-29.064, 2040-2059, access1_3, Aug Anomaly, NPL
-42.727, 2040-2059, access1_3, Sep Anomaly, NPL
-46.035, 2040-2059, access1_3, Oct Anomaly, NPL
-70.755, 2040-2059, access1_3, Nov Anomaly, NPL
-98.642, 2040-2059, access1_3, Dec Anomaly, NPL
-70.856, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-50.099, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-99.978, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-80.572, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-68.289, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-31.142, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-25.412, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-31.48, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-33.466, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-40.994, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-57.229, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-93.867, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-82.312, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-35.569, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-46.291, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-63.141, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-51.474, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-34.152, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-17.605, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
-15.101, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-17.976, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-34.933, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-27.21, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
