Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-34.573, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-22.181, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-60.083, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-61.167, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-48.046, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-24.744, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-23.024, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-25.351, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-16.59, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-36.335, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-64.796, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-55.451, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-64.941, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-3.9058, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
7.08466, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-43.104, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-30.482, 2020-2039, bcc_csm1_1, May Anomaly, NPL
-19.916, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-15.593, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
-4.7259, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
-13.921, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-20.718, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-3.9725, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-21.021, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-50.067, 2020-2039, ccsm4, Jan Anomaly, NPL
-31.911, 2020-2039, ccsm4, Feb Anomaly, NPL
-71.179, 2020-2039, ccsm4, Mar Anomaly, NPL
-39.017, 2020-2039, ccsm4, Apr Anomaly, NPL
-43.487, 2020-2039, ccsm4, May Anomaly, NPL
-26.438, 2020-2039, ccsm4, Jun Anomaly, NPL
-28.264, 2020-2039, ccsm4, Jul Anomaly, NPL
-22.879, 2020-2039, ccsm4, Aug Anomaly, NPL
-28.833, 2020-2039, ccsm4, Sep Anomaly, NPL
-31.428, 2020-2039, ccsm4, Oct Anomaly, NPL
-46.121, 2020-2039, ccsm4, Nov Anomaly, NPL
