Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-117.42, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-81.592, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-135.26, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-100.34, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-79.808, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-47.966, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-48.378, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-47.497, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-53.757, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-70.288, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-102.84, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-112.15, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-169.11, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-123.43, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-122.08, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-97.58, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-63.347, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-44.854, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-43.677, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-36.7, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-48.987, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-67.744, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-79.206, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-140.99, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-120.81, 2080-2099, ccsm4, Jan Anomaly, NPL
-110.55, 2080-2099, ccsm4, Feb Anomaly, NPL
-139.15, 2080-2099, ccsm4, Mar Anomaly, NPL
-84.312, 2080-2099, ccsm4, Apr Anomaly, NPL
-68.032, 2080-2099, ccsm4, May Anomaly, NPL
-56.204, 2080-2099, ccsm4, Jun Anomaly, NPL
-54.84, 2080-2099, ccsm4, Jul Anomaly, NPL
-56.839, 2080-2099, ccsm4, Aug Anomaly, NPL
-64.513, 2080-2099, ccsm4, Sep Anomaly, NPL
-84.353, 2080-2099, ccsm4, Oct Anomaly, NPL
-109.86, 2080-2099, ccsm4, Nov Anomaly, NPL
-109.14, 2080-2099, ccsm4, Dec Anomaly, NPL
-180.27, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-192.22, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-128.15, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-81.833, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-75.228, 2080-2099, cesm1_cam5, May Anomaly, NPL
-72.926, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-71.595, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-73.254, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-81.584, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-115.69, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-165.04, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-158.28, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-164.49, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-187.01, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-148.89, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-94.336, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
-61.689, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-62.373, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-65.76, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-59.829, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
-54.131, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
-64.906, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-134.95, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-173.35, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-310.07, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-264.36, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
-211.69, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-150.2, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-141.39, 2080-2099, gfdl_cm3, May Anomaly, NPL
-120.59, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
-95.876, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
-98.198, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-109.25, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-140.22, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-176.09, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-260.75, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
-105.67, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
-89.706, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
-143.32, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
-90.534, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-62.388, 2080-2099, gfdl_esm2g, May Anomaly, NPL
-58.325, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
-42.309, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-46.896, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
-47.941, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-77.453, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
-93.063, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
-81.133, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
-104.38, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
-71.93, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
-129.68, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-88.398, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-78.143, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-65.691, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-47.387, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-50.939, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-54.011, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
-94.128, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
-109.82, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
-79.502, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
-131.94, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
-167.7, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
-151.26, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-73.035, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
-43.086, 2080-2099, hadgem2_ao, May Anomaly, NPL
-41.467, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
-35.582, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
-38.428, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
-54.741, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
-92.391, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
-133.83, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
-181.1, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
-181.44, 2080-2099, hadgem2_es, Jan Anomaly, NPL
-175.59, 2080-2099, hadgem2_es, Feb Anomaly, NPL
-139.75, 2080-2099, hadgem2_es, Mar Anomaly, NPL
-88.615, 2080-2099, hadgem2_es, Apr Anomaly, NPL
-54.417, 2080-2099, hadgem2_es, May Anomaly, NPL
-53.803, 2080-2099, hadgem2_es, Jun Anomaly, NPL
-56.433, 2080-2099, hadgem2_es, Jul Anomaly, NPL
-52.46, 2080-2099, hadgem2_es, Aug Anomaly, NPL
-70.433, 2080-2099, hadgem2_es, Sep Anomaly, NPL
-102.29, 2080-2099, hadgem2_es, Oct Anomaly, NPL
-150.54, 2080-2099, hadgem2_es, Nov Anomaly, NPL
-160.97, 2080-2099, hadgem2_es, Dec Anomaly, NPL
-182.96, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
-153.62, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
-179.07, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
-144.48, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
-110.01, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
