Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-173.13, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-106.66, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-88.749, 2080-2099, cesm1_bgc, May Anomaly, NPL
-71.002, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
-82.192, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
-75.959, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
-98.434, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
-134.9, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-184.0, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-194.87, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-257.45, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-245.45, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-176.13, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-109.08, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-93.858, 2080-2099, cesm1_cam5, May Anomaly, NPL
-95.03, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-91.261, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-93.392, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-109.43, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-135.88, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-196.49, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-219.0, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-293.2, 2080-2099, cmcc_cesm, Jan Anomaly, NPL
-204.17, 2080-2099, cmcc_cesm, Feb Anomaly, NPL
-217.95, 2080-2099, cmcc_cesm, Mar Anomaly, NPL
-157.57, 2080-2099, cmcc_cesm, Apr Anomaly, NPL
-128.53, 2080-2099, cmcc_cesm, May Anomaly, NPL
-101.11, 2080-2099, cmcc_cesm, Jun Anomaly, NPL
-73.927, 2080-2099, cmcc_cesm, Jul Anomaly, NPL
-76.355, 2080-2099, cmcc_cesm, Aug Anomaly, NPL
-84.058, 2080-2099, cmcc_cesm, Sep Anomaly, NPL
-126.92, 2080-2099, cmcc_cesm, Oct Anomaly, NPL
-186.23, 2080-2099, cmcc_cesm, Nov Anomaly, NPL
-274.88, 2080-2099, cmcc_cesm, Dec Anomaly, NPL
-326.63, 2080-2099, cmcc_cm, Jan Anomaly, NPL
-282.07, 2080-2099, cmcc_cm, Feb Anomaly, NPL
-257.45, 2080-2099, cmcc_cm, Mar Anomaly, NPL
-168.49, 2080-2099, cmcc_cm, Apr Anomaly, NPL
-142.33, 2080-2099, cmcc_cm, May Anomaly, NPL
-98.53, 2080-2099, cmcc_cm, Jun Anomaly, NPL
-98.052, 2080-2099, cmcc_cm, Jul Anomaly, NPL
-104.58, 2080-2099, cmcc_cm, Aug Anomaly, NPL
-109.05, 2080-2099, cmcc_cm, Sep Anomaly, NPL
-163.67, 2080-2099, cmcc_cm, Oct Anomaly, NPL
-231.62, 2080-2099, cmcc_cm, Nov Anomaly, NPL
-321.19, 2080-2099, cmcc_cm, Dec Anomaly, NPL
-371.78, 2080-2099, cmcc_cms, Jan Anomaly, NPL
-300.95, 2080-2099, cmcc_cms, Feb Anomaly, NPL
-283.1, 2080-2099, cmcc_cms, Mar Anomaly, NPL
-175.0, 2080-2099, cmcc_cms, Apr Anomaly, NPL
-132.0, 2080-2099, cmcc_cms, May Anomaly, NPL
-100.52, 2080-2099, cmcc_cms, Jun Anomaly, NPL
-99.322, 2080-2099, cmcc_cms, Jul Anomaly, NPL
-98.635, 2080-2099, cmcc_cms, Aug Anomaly, NPL
-109.27, 2080-2099, cmcc_cms, Sep Anomaly, NPL
-169.52, 2080-2099, cmcc_cms, Oct Anomaly, NPL
-219.18, 2080-2099, cmcc_cms, Nov Anomaly, NPL
-339.74, 2080-2099, cmcc_cms, Dec Anomaly, NPL
-175.45, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-185.34, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-170.52, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
-137.26, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-110.14, 2080-2099, cnrm_cm5, May Anomaly, NPL
-88.563, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-92.357, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
-100.31, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
-113.58, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
-167.58, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
-206.83, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
-221.33, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
-295.16, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-319.36, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-240.07, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-139.83, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
-96.118, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-92.402, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-90.553, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-80.56, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
-85.766, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
-103.52, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-194.16, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-281.8, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-429.03, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-330.51, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
-279.97, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-203.13, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-190.21, 2080-2099, gfdl_cm3, May Anomaly, NPL
-151.82, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
-119.79, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
-98.478, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-140.7, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-202.91, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-234.33, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-377.74, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
-201.01, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
-164.02, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
-182.36, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
-130.95, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-95.792, 2080-2099, gfdl_esm2g, May Anomaly, NPL
-79.185, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
-72.527, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-69.975, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
-87.046, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-137.98, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
