Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-63.123, 2020-2039, access1_0, Jan Anomaly, NPL
-73.076, 2020-2039, access1_0, Feb Anomaly, NPL
-62.138, 2020-2039, access1_0, Mar Anomaly, NPL
-33.959, 2020-2039, access1_0, Apr Anomaly, NPL
-11.175, 2020-2039, access1_0, May Anomaly, NPL
-9.4829, 2020-2039, access1_0, Jun Anomaly, NPL
-12.777, 2020-2039, access1_0, Jul Anomaly, NPL
-15.828, 2020-2039, access1_0, Aug Anomaly, NPL
-21.949, 2020-2039, access1_0, Sep Anomaly, NPL
-42.499, 2020-2039, access1_0, Oct Anomaly, NPL
-61.269, 2020-2039, access1_0, Nov Anomaly, NPL
-64.042, 2020-2039, access1_0, Dec Anomaly, NPL
-47.358, 2020-2039, access1_3, Jan Anomaly, NPL
-45.712, 2020-2039, access1_3, Feb Anomaly, NPL
-51.082, 2020-2039, access1_3, Mar Anomaly, NPL
-47.148, 2020-2039, access1_3, Apr Anomaly, NPL
-25.431, 2020-2039, access1_3, May Anomaly, NPL
-10.2, 2020-2039, access1_3, Jun Anomaly, NPL
-17.606, 2020-2039, access1_3, Jul Anomaly, NPL
-16.139, 2020-2039, access1_3, Aug Anomaly, NPL
-31.617, 2020-2039, access1_3, Sep Anomaly, NPL
-35.699, 2020-2039, access1_3, Oct Anomaly, NPL
-49.01, 2020-2039, access1_3, Nov Anomaly, NPL
-60.045, 2020-2039, access1_3, Dec Anomaly, NPL
-61.907, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-32.129, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-58.816, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-55.067, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-50.662, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-25.144, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-29.651, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-25.288, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-16.562, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-34.194, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-47.225, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-68.27, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-80.695, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-56.145, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-53.128, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-37.401, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-40.358, 2020-2039, bcc_csm1_1, May Anomaly, NPL
-20.973, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-13.557, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
-10.469, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
-16.968, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-27.813, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-19.251, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-35.902, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-82.562, 2020-2039, bnu_esm, Jan Anomaly, NPL
-83.507, 2020-2039, bnu_esm, Feb Anomaly, NPL
-102.37, 2020-2039, bnu_esm, Mar Anomaly, NPL
-76.063, 2020-2039, bnu_esm, Apr Anomaly, NPL
-33.067, 2020-2039, bnu_esm, May Anomaly, NPL
-39.367, 2020-2039, bnu_esm, Jun Anomaly, NPL
-28.631, 2020-2039, bnu_esm, Jul Anomaly, NPL
-11.508, 2020-2039, bnu_esm, Aug Anomaly, NPL
-13.336, 2020-2039, bnu_esm, Sep Anomaly, NPL
-26.897, 2020-2039, bnu_esm, Oct Anomaly, NPL
-43.496, 2020-2039, bnu_esm, Nov Anomaly, NPL
-67.093, 2020-2039, bnu_esm, Dec Anomaly, NPL
-157.26, 2020-2039, canesm2, Jan Anomaly, NPL
-143.57, 2020-2039, canesm2, Feb Anomaly, NPL
-137.46, 2020-2039, canesm2, Mar Anomaly, NPL
-69.248, 2020-2039, canesm2, Apr Anomaly, NPL
-57.322, 2020-2039, canesm2, May Anomaly, NPL
-36.848, 2020-2039, canesm2, Jun Anomaly, NPL
-13.869, 2020-2039, canesm2, Jul Anomaly, NPL
-11.552, 2020-2039, canesm2, Aug Anomaly, NPL
-18.112, 2020-2039, canesm2, Sep Anomaly, NPL
-37.374, 2020-2039, canesm2, Oct Anomaly, NPL
-63.548, 2020-2039, canesm2, Nov Anomaly, NPL
-120.68, 2020-2039, canesm2, Dec Anomaly, NPL
-52.876, 2020-2039, ccsm4, Jan Anomaly, NPL
-31.744, 2020-2039, ccsm4, Feb Anomaly, NPL
-85.214, 2020-2039, ccsm4, Mar Anomaly, NPL
-47.997, 2020-2039, ccsm4, Apr Anomaly, NPL
-37.4, 2020-2039, ccsm4, May Anomaly, NPL
-25.699, 2020-2039, ccsm4, Jun Anomaly, NPL
-31.274, 2020-2039, ccsm4, Jul Anomaly, NPL
-29.164, 2020-2039, ccsm4, Aug Anomaly, NPL
-30.813, 2020-2039, ccsm4, Sep Anomaly, NPL
-32.82, 2020-2039, ccsm4, Oct Anomaly, NPL
-33.166, 2020-2039, ccsm4, Nov Anomaly, NPL
-15.729, 2020-2039, ccsm4, Dec Anomaly, NPL
-29.554, 2020-2039, cesm1_bgc, Jan Anomaly, NPL
-53.68, 2020-2039, cesm1_bgc, Feb Anomaly, NPL
-71.792, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
-32.757, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
-30.424, 2020-2039, cesm1_bgc, May Anomaly, NPL
-20.699, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
-33.092, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
-27.349, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
-43.818, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
-36.379, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
-26.572, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
-21.353, 2020-2039, cesm1_bgc, Dec Anomaly, NPL
-16.78, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
-52.245, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
-50.928, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
-39.696, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-35.321, 2020-2039, cesm1_cam5, May Anomaly, NPL
-25.382, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-29.097, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
-33.556, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
-42.879, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
-47.362, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
-39.147, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-12.946, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-74.893, 2020-2039, cmcc_cesm, Jan Anomaly, NPL
-81.063, 2020-2039, cmcc_cesm, Feb Anomaly, NPL
-89.179, 2020-2039, cmcc_cesm, Mar Anomaly, NPL
-67.3, 2020-2039, cmcc_cesm, Apr Anomaly, NPL
-48.33, 2020-2039, cmcc_cesm, May Anomaly, NPL
-24.815, 2020-2039, cmcc_cesm, Jun Anomaly, NPL
-0.9699, 2020-2039, cmcc_cesm, Jul Anomaly, NPL
-7.79, 2020-2039, cmcc_cesm, Aug Anomaly, NPL
-20.443, 2020-2039, cmcc_cesm, Sep Anomaly, NPL
-29.144, 2020-2039, cmcc_cesm, Oct Anomaly, NPL
-37.128, 2020-2039, cmcc_cesm, Nov Anomaly, NPL
-55.831, 2020-2039, cmcc_cesm, Dec Anomaly, NPL
-54.218, 2020-2039, cmcc_cm, Jan Anomaly, NPL
-82.043, 2020-2039, cmcc_cm, Feb Anomaly, NPL
-70.173, 2020-2039, cmcc_cm, Mar Anomaly, NPL
-53.121, 2020-2039, cmcc_cm, Apr Anomaly, NPL
-37.166, 2020-2039, cmcc_cm, May Anomaly, NPL
-19.873, 2020-2039, cmcc_cm, Jun Anomaly, NPL
-23.175, 2020-2039, cmcc_cm, Jul Anomaly, NPL
-27.408, 2020-2039, cmcc_cm, Aug Anomaly, NPL
-30.291, 2020-2039, cmcc_cm, Sep Anomaly, NPL
-37.224, 2020-2039, cmcc_cm, Oct Anomaly, NPL
-41.684, 2020-2039, cmcc_cm, Nov Anomaly, NPL
-49.595, 2020-2039, cmcc_cm, Dec Anomaly, NPL
-106.57, 2020-2039, cmcc_cms, Jan Anomaly, NPL
-83.885, 2020-2039, cmcc_cms, Feb Anomaly, NPL
