Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
0.0652, 2020-2039, access1_3, Annual Anomaly, NPL
-0.2759, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
0.21791, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
0.41948, 2020-2039, bnu_esm, Annual Anomaly, NPL
0.0345, 2020-2039, canesm2, Annual Anomaly, NPL
0.1067, 2020-2039, ccsm4, Annual Anomaly, NPL
0.21957, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
0.17087, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.1639, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-0.111, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.7247, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
0.04251, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
-0.3002, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
0.22623, 2020-2039, inmcm4, Annual Anomaly, NPL
-0.3606, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.1297, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
0.03324, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
0.136, 2020-2039, miroc5, Annual Anomaly, NPL
-0.8493, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-0.4449, 2020-2039, miroc_esm, Annual Anomaly, NPL
0.53244, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
0.48365, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
0.13509, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.6425, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.0347, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
0.54017, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
