Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
0.17086, 2040-2059, access1_3, Annual Anomaly, NPL
-0.4648, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.39197, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
0.4059, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.22815, 2040-2059, canesm2, Annual Anomaly, NPL
0.11605, 2040-2059, ccsm4, Annual Anomaly, NPL
0.23522, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
0.42215, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.8029, 2040-2059, cmcc_cesm, Annual Anomaly, NPL
-0.0162, 2040-2059, cmcc_cm, Annual Anomaly, NPL
-0.3699, 2040-2059, cmcc_cms, Annual Anomaly, NPL
0.27969, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
0.65028, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.3468, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
0.12641, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
0.09509, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
0.49476, 2040-2059, inmcm4, Annual Anomaly, NPL
0.06734, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.49995, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.18391, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
0.1949, 2040-2059, miroc5, Annual Anomaly, NPL
-0.4649, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.07306, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.5605, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-0.2266, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
0.16311, 2040-2059, mri_esm1, Annual Anomaly, NPL
0.53252, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.5887, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.13592, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.68057, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
