Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
0.73938, 2060-2079, access1_3, Annual Anomaly, NPL
-0.2896, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
0.31859, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
0.47322, 2060-2079, bnu_esm, Annual Anomaly, NPL
0.27773, 2060-2079, canesm2, Annual Anomaly, NPL
-0.065, 2060-2079, ccsm4, Annual Anomaly, NPL
0.02356, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
0.39281, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-1.6599, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
0.12103, 2060-2079, cmcc_cm, Annual Anomaly, NPL
-0.7838, 2060-2079, cmcc_cms, Annual Anomaly, NPL
0.5669, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
0.24219, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.75492, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
-0.2938, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
0.04308, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
0.74065, 2060-2079, inmcm4, Annual Anomaly, NPL
0.13001, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.20181, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
0.10348, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
0.47463, 2060-2079, miroc5, Annual Anomaly, NPL
-0.4621, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
-0.0974, 2060-2079, miroc_esm, Annual Anomaly, NPL
-0.7537, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
0.13805, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.43251, 2060-2079, mri_esm1, Annual Anomaly, NPL
0.34816, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.7838, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.13929, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.81208, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
