Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
0.45615, 2020-2039, access1_3, Annual Anomaly, NPL
-0.3082, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
0.15244, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
0.16418, 2020-2039, bnu_esm, Annual Anomaly, NPL
0.32926, 2020-2039, canesm2, Annual Anomaly, NPL
0.02871, 2020-2039, ccsm4, Annual Anomaly, NPL
0.15113, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
0.54096, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.0907, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
-0.0222, 2020-2039, cmcc_cm, Annual Anomaly, NPL
-0.5669, 2020-2039, cmcc_cms, Annual Anomaly, NPL
-0.0391, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
0.31662, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.3237, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
-0.2345, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
0.23864, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
0.14996, 2020-2039, inmcm4, Annual Anomaly, NPL
-0.1008, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
0.19955, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
0.17152, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0064, 2020-2039, miroc5, Annual Anomaly, NPL
-0.5341, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
0.22812, 2020-2039, miroc_esm, Annual Anomaly, NPL
0.02914, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
0.2945, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
0.13378, 2020-2039, mri_esm1, Annual Anomaly, NPL
0.2921, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.4727, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.07858, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
0.52308, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
