Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.4038, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.20952, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.71251, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
