Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.115, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
0.33312, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
0.35373, 2020-2039, bnu_esm, Annual Anomaly, NPL
0.54702, 2020-2039, canesm2, Annual Anomaly, NPL
-0.1555, 2020-2039, ccsm4, Annual Anomaly, NPL
0.3068, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.0606, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-0.4227, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.3042, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
0.04258, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
-0.0553, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-0.0463, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
0.32047, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
0.2322, 2020-2039, miroc5, Annual Anomaly, NPL
-0.2105, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
0.37101, 2020-2039, miroc_esm, Annual Anomaly, NPL
-0.1272, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-0.2433, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
0.33496, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.4457, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.04251, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
0.49975, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
