Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.6718, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.498, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.1171, 2040-2059, ccsm4, Annual Anomaly, NPL
0.41435, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.059, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.6351, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.0343, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.2254, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-0.4485, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.02964, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.2708, 2040-2059, miroc5, Annual Anomaly, NPL
0.10283, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.11578, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.2231, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
0.39806, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.7773, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.04463, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.51233, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
