Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
1.02803, 2080-2099, access1_3, Annual Anomaly, NPL
-0.3358, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.5868, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.47343, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.15212, 2080-2099, canesm2, Annual Anomaly, NPL
0.30229, 2080-2099, ccsm4, Annual Anomaly, NPL
0.55287, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
0.84111, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-1.9644, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
-0.4691, 2080-2099, cmcc_cm, Annual Anomaly, NPL
-1.2149, 2080-2099, cmcc_cms, Annual Anomaly, NPL
0.55279, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.35855, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
1.4339, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
1.26807, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.23897, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.69211, 2080-2099, inmcm4, Annual Anomaly, NPL
-0.569, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.8946, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
1.0495, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
0.73052, 2080-2099, miroc5, Annual Anomaly, NPL
-0.685, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
-0.5735, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.5751, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.13307, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.3032, 2080-2099, mri_esm1, Annual Anomaly, NPL
0.76354, 2080-2099, noresm1_m, Annual Anomaly, NPL
-1.0407, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.34025, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1.30686, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
