Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.4764, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.27084, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.75101, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
