Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.4727, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.07858, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
0.52308, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
