Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.3806, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.41076, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
0.2876, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.35119, 2040-2059, canesm2, Annual Anomaly, NPL
0.05807, 2040-2059, ccsm4, Annual Anomaly, NPL
0.49665, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
0.10389, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-0.0482, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
0.43227, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
0.14838, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.2846, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
0.00404, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.14806, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.03002, 2040-2059, miroc5, Annual Anomaly, NPL
-0.2258, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.32992, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.1672, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
0.01957, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
0.44019, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.4796, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.1214, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.60578, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
