Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.2339, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
0.7454, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
0.17589, 2060-2079, ccsm4, Annual Anomaly, NPL
0.36917, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-0.0688, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.2195, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.25971, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-0.1999, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
-0.4456, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.44539, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
0.16511, 2060-2079, miroc5, Annual Anomaly, NPL
0.40694, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
0.42322, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.31517, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.22861, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.4038, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.20952, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.71251, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
