Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
-0.4044971, 2060-2079, bcc_csm1_1, Jan Average, Nepal, NPL
1.5427395, 2060-2079, bcc_csm1_1, Feb Average, Nepal, NPL
5.7053223, 2060-2079, bcc_csm1_1, Mar Average, Nepal, NPL
10.032991, 2060-2079, bcc_csm1_1, Apr Average, Nepal, NPL
14.015607, 2060-2079, bcc_csm1_1, May Average, Nepal, NPL
17.822113, 2060-2079, bcc_csm1_1, Jun Average, Nepal, NPL
18.217157, 2060-2079, bcc_csm1_1, Jul Average, Nepal, NPL
16.540653, 2060-2079, bcc_csm1_1, Aug Average, Nepal, NPL
14.352935, 2060-2079, bcc_csm1_1, Sep Average, Nepal, NPL
11.513349, 2060-2079, bcc_csm1_1, Oct Average, Nepal, NPL
7.236373, 2060-2079, bcc_csm1_1, Nov Average, Nepal, NPL
2.3909786, 2060-2079, bcc_csm1_1, Dec Average, Nepal, NPL
7.6020913, 2060-2079, bcc_csm1_1_m, Jan Average, Nepal, NPL
8.749601, 2060-2079, bcc_csm1_1_m, Feb Average, Nepal, NPL
13.032075, 2060-2079, bcc_csm1_1_m, Mar Average, Nepal, NPL
18.050442, 2060-2079, bcc_csm1_1_m, Apr Average, Nepal, NPL
22.065237, 2060-2079, bcc_csm1_1_m, May Average, Nepal, NPL
24.338564, 2060-2079, bcc_csm1_1_m, Jun Average, Nepal, NPL
22.837002, 2060-2079, bcc_csm1_1_m, Jul Average, Nepal, NPL
21.612574, 2060-2079, bcc_csm1_1_m, Aug Average, Nepal, NPL
20.31545, 2060-2079, bcc_csm1_1_m, Sep Average, Nepal, NPL
17.595959, 2060-2079, bcc_csm1_1_m, Oct Average, Nepal, NPL
13.24733, 2060-2079, bcc_csm1_1_m, Nov Average, Nepal, NPL
9.395548, 2060-2079, bcc_csm1_1_m, Dec Average, Nepal, NPL
6.7680783, 2060-2079, ccsm4, Jan Average, Nepal, NPL
7.9267645, 2060-2079, ccsm4, Feb Average, Nepal, NPL
11.890981, 2060-2079, ccsm4, Mar Average, Nepal, NPL
18.226671, 2060-2079, ccsm4, Apr Average, Nepal, NPL
23.474371, 2060-2079, ccsm4, May Average, Nepal, NPL
24.797157, 2060-2079, ccsm4, Jun Average, Nepal, NPL
24.038189, 2060-2079, ccsm4, Jul Average, Nepal, NPL
23.58798, 2060-2079, ccsm4, Aug Average, Nepal, NPL
21.830145, 2060-2079, ccsm4, Sep Average, Nepal, NPL
16.495337, 2060-2079, ccsm4, Oct Average, Nepal, NPL
11.804581, 2060-2079, ccsm4, Nov Average, Nepal, NPL
8.195359, 2060-2079, ccsm4, Dec Average, Nepal, NPL
5.056265, 2060-2079, cesm1_cam5, Jan Average, Nepal, NPL
7.092928, 2060-2079, cesm1_cam5, Feb Average, Nepal, NPL
12.5810375, 2060-2079, cesm1_cam5, Mar Average, Nepal, NPL
18.285908, 2060-2079, cesm1_cam5, Apr Average, Nepal, NPL
21.851093, 2060-2079, cesm1_cam5, May Average, Nepal, NPL
23.972807, 2060-2079, cesm1_cam5, Jun Average, Nepal, NPL
23.606081, 2060-2079, cesm1_cam5, Jul Average, Nepal, NPL
23.174025, 2060-2079, cesm1_cam5, Aug Average, Nepal, NPL
21.92701, 2060-2079, cesm1_cam5, Sep Average, Nepal, NPL
17.162676, 2060-2079, cesm1_cam5, Oct Average, Nepal, NPL
11.01058, 2060-2079, cesm1_cam5, Nov Average, Nepal, NPL
6.8061852, 2060-2079, cesm1_cam5, Dec Average, Nepal, NPL
1.6454917, 2060-2079, csiro_mk3_6_0, Jan Average, Nepal, NPL
3.487533, 2060-2079, csiro_mk3_6_0, Feb Average, Nepal, NPL
7.61947, 2060-2079, csiro_mk3_6_0, Mar Average, Nepal, NPL
12.650803, 2060-2079, csiro_mk3_6_0, Apr Average, Nepal, NPL
17.685514, 2060-2079, csiro_mk3_6_0, May Average, Nepal, NPL
21.607098, 2060-2079, csiro_mk3_6_0, Jun Average, Nepal, NPL
22.338207, 2060-2079, csiro_mk3_6_0, Jul Average, Nepal, NPL
20.740871, 2060-2079, csiro_mk3_6_0, Aug Average, Nepal, NPL
17.551485, 2060-2079, csiro_mk3_6_0, Sep Average, Nepal, NPL
12.693644, 2060-2079, csiro_mk3_6_0, Oct Average, Nepal, NPL
7.3340793, 2060-2079, csiro_mk3_6_0, Nov Average, Nepal, NPL
2.9652464, 2060-2079, csiro_mk3_6_0, Dec Average, Nepal, NPL
2.8057268, 2060-2079, fio_esm, Jan Average, Nepal, NPL
3.9593375, 2060-2079, fio_esm, Feb Average, Nepal, NPL
6.447393, 2060-2079, fio_esm, Mar Average, Nepal, NPL
10.873116, 2060-2079, fio_esm, Apr Average, Nepal, NPL
14.695142, 2060-2079, fio_esm, May Average, Nepal, NPL
18.332325, 2060-2079, fio_esm, Jun Average, Nepal, NPL
19.19441, 2060-2079, fio_esm, Jul Average, Nepal, NPL
18.400614, 2060-2079, fio_esm, Aug Average, Nepal, NPL
16.213621, 2060-2079, fio_esm, Sep Average, Nepal, NPL
10.839248, 2060-2079, fio_esm, Oct Average, Nepal, NPL
6.738207, 2060-2079, fio_esm, Nov Average, Nepal, NPL
4.063095, 2060-2079, fio_esm, Dec Average, Nepal, NPL
1.1068298, 2060-2079, gfdl_cm3, Jan Average, Nepal, NPL
2.635887, 2060-2079, gfdl_cm3, Feb Average, Nepal, NPL
6.6766644, 2060-2079, gfdl_cm3, Mar Average, Nepal, NPL
12.281137, 2060-2079, gfdl_cm3, Apr Average, Nepal, NPL
16.319544, 2060-2079, gfdl_cm3, May Average, Nepal, NPL
20.079386, 2060-2079, gfdl_cm3, Jun Average, Nepal, NPL
21.231508, 2060-2079, gfdl_cm3, Jul Average, Nepal, NPL
21.051853, 2060-2079, gfdl_cm3, Aug Average, Nepal, NPL
19.11147, 2060-2079, gfdl_cm3, Sep Average, Nepal, NPL
12.545193, 2060-2079, gfdl_cm3, Oct Average, Nepal, NPL
6.296018, 2060-2079, gfdl_cm3, Nov Average, Nepal, NPL
1.4548515, 2060-2079, gfdl_cm3, Dec Average, Nepal, NPL
1.5401837, 2060-2079, gfdl_esm2m, Jan Average, Nepal, NPL
2.9196115, 2060-2079, gfdl_esm2m, Feb Average, Nepal, NPL
6.909468, 2060-2079, gfdl_esm2m, Mar Average, Nepal, NPL
11.455501, 2060-2079, gfdl_esm2m, Apr Average, Nepal, NPL
17.030693, 2060-2079, gfdl_esm2m, May Average, Nepal, NPL
19.990477, 2060-2079, gfdl_esm2m, Jun Average, Nepal, NPL
20.603777, 2060-2079, gfdl_esm2m, Jul Average, Nepal, NPL
19.4467, 2060-2079, gfdl_esm2m, Aug Average, Nepal, NPL
16.605783, 2060-2079, gfdl_esm2m, Sep Average, Nepal, NPL
11.240925, 2060-2079, gfdl_esm2m, Oct Average, Nepal, NPL
4.931952, 2060-2079, gfdl_esm2m, Nov Average, Nepal, NPL
0.6778146, 2060-2079, gfdl_esm2m, Dec Average, Nepal, NPL
14.2894, 2060-2079, giss_e2_h, Jan Average, Nepal, NPL
15.520969, 2060-2079, giss_e2_h, Feb Average, Nepal, NPL
18.95665, 2060-2079, giss_e2_h, Mar Average, Nepal, NPL
22.7409, 2060-2079, giss_e2_h, Apr Average, Nepal, NPL
25.469711, 2060-2079, giss_e2_h, May Average, Nepal, NPL
27.300226, 2060-2079, giss_e2_h, Jun Average, Nepal, NPL
28.012634, 2060-2079, giss_e2_h, Jul Average, Nepal, NPL
26.999683, 2060-2079, giss_e2_h, Aug Average, Nepal, NPL
25.93582, 2060-2079, giss_e2_h, Sep Average, Nepal, NPL
22.54789, 2060-2079, giss_e2_h, Oct Average, Nepal, NPL
18.598583, 2060-2079, giss_e2_h, Nov Average, Nepal, NPL
14.9225, 2060-2079, giss_e2_h, Dec Average, Nepal, NPL
14.528861, 2060-2079, giss_e2_r, Jan Average, Nepal, NPL
16.160969, 2060-2079, giss_e2_r, Feb Average, Nepal, NPL
19.371593, 2060-2079, giss_e2_r, Mar Average, Nepal, NPL
23.115406, 2060-2079, giss_e2_r, Apr Average, Nepal, NPL
26.236057, 2060-2079, giss_e2_r, May Average, Nepal, NPL
28.030022, 2060-2079, giss_e2_r, Jun Average, Nepal, NPL
28.729902, 2060-2079, giss_e2_r, Jul Average, Nepal, NPL
27.503033, 2060-2079, giss_e2_r, Aug Average, Nepal, NPL
26.282146, 2060-2079, giss_e2_r, Sep Average, Nepal, NPL
23.186031, 2060-2079, giss_e2_r, Oct Average, Nepal, NPL
18.9808, 2060-2079, giss_e2_r, Nov Average, Nepal, NPL
15.844804, 2060-2079, giss_e2_r, Dec Average, Nepal, NPL
2.9348445, 2060-2079, ipsl_cm5a_mr, Jan Average, Nepal, NPL
4.9767594, 2060-2079, ipsl_cm5a_mr, Feb Average, Nepal, NPL
8.473899, 2060-2079, ipsl_cm5a_mr, Mar Average, Nepal, NPL
12.070598, 2060-2079, ipsl_cm5a_mr, Apr Average, Nepal, NPL
17.641436, 2060-2079, ipsl_cm5a_mr, May Average, Nepal, NPL
19.800907, 2060-2079, ipsl_cm5a_mr, Jun Average, Nepal, NPL
21.302504, 2060-2079, ipsl_cm5a_mr, Jul Average, Nepal, NPL
21.61292, 2060-2079, ipsl_cm5a_mr, Aug Average, Nepal, NPL
19.202795, 2060-2079, ipsl_cm5a_mr, Sep Average, Nepal, NPL
14.454396, 2060-2079, ipsl_cm5a_mr, Oct Average, Nepal, NPL
9.614021, 2060-2079, ipsl_cm5a_mr, Nov Average, Nepal, NPL
5.3375783, 2060-2079, ipsl_cm5a_mr, Dec Average, Nepal, NPL
0.6705922, 2060-2079, miroc_esm, Jan Average, Nepal, NPL
1.3482704, 2060-2079, miroc_esm, Feb Average, Nepal, NPL
4.8879633, 2060-2079, miroc_esm, Mar Average, Nepal, NPL
9.559415, 2060-2079, miroc_esm, Apr Average, Nepal, NPL
13.83447, 2060-2079, miroc_esm, May Average, Nepal, NPL
16.675776, 2060-2079, miroc_esm, Jun Average, Nepal, NPL
17.245455, 2060-2079, miroc_esm, Jul Average, Nepal, NPL
16.651466, 2060-2079, miroc_esm, Aug Average, Nepal, NPL
15.415635, 2060-2079, miroc_esm, Sep Average, Nepal, NPL
12.000924, 2060-2079, miroc_esm, Oct Average, Nepal, NPL
7.715072, 2060-2079, miroc_esm, Nov Average, Nepal, NPL
3.04715, 2060-2079, miroc_esm, Dec Average, Nepal, NPL
1.0053504, 2060-2079, miroc_esm_chem, Jan Average, Nepal, NPL
1.3313862, 2060-2079, miroc_esm_chem, Feb Average, Nepal, NPL
4.062009, 2060-2079, miroc_esm_chem, Mar Average, Nepal, NPL
8.933918, 2060-2079, miroc_esm_chem, Apr Average, Nepal, NPL
13.739736, 2060-2079, miroc_esm_chem, May Average, Nepal, NPL
16.693298, 2060-2079, miroc_esm_chem, Jun Average, Nepal, NPL
17.216902, 2060-2079, miroc_esm_chem, Jul Average, Nepal, NPL
16.589228, 2060-2079, miroc_esm_chem, Aug Average, Nepal, NPL
15.357544, 2060-2079, miroc_esm_chem, Sep Average, Nepal, NPL
11.930502, 2060-2079, miroc_esm_chem, Oct Average, Nepal, NPL
7.807687, 2060-2079, miroc_esm_chem, Nov Average, Nepal, NPL
3.1132207, 2060-2079, miroc_esm_chem, Dec Average, Nepal, NPL
6.3084273, 2060-2079, miroc5, Jan Average, Nepal, NPL
8.269945, 2060-2079, miroc5, Feb Average, Nepal, NPL
11.951941, 2060-2079, miroc5, Mar Average, Nepal, NPL
17.593832, 2060-2079, miroc5, Apr Average, Nepal, NPL
21.177725, 2060-2079, miroc5, May Average, Nepal, NPL
22.538723, 2060-2079, miroc5, Jun Average, Nepal, NPL
21.357513, 2060-2079, miroc5, Jul Average, Nepal, NPL
20.757383, 2060-2079, miroc5, Aug Average, Nepal, NPL
19.755426, 2060-2079, miroc5, Sep Average, Nepal, NPL
16.603966, 2060-2079, miroc5, Oct Average, Nepal, NPL
11.871944, 2060-2079, miroc5, Nov Average, Nepal, NPL
7.718538, 2060-2079, miroc5, Dec Average, Nepal, NPL
4.39374, 2060-2079, mri_cgcm3, Jan Average, Nepal, NPL
6.9321723, 2060-2079, mri_cgcm3, Feb Average, Nepal, NPL
11.94611, 2060-2079, mri_cgcm3, Mar Average, Nepal, NPL
18.039373, 2060-2079, mri_cgcm3, Apr Average, Nepal, NPL
22.257856, 2060-2079, mri_cgcm3, May Average, Nepal, NPL
25.81338, 2060-2079, mri_cgcm3, Jun Average, Nepal, NPL
25.25096, 2060-2079, mri_cgcm3, Jul Average, Nepal, NPL
22.911, 2060-2079, mri_cgcm3, Aug Average, Nepal, NPL
20.120167, 2060-2079, mri_cgcm3, Sep Average, Nepal, NPL
15.378831, 2060-2079, mri_cgcm3, Oct Average, Nepal, NPL
10.034805, 2060-2079, mri_cgcm3, Nov Average, Nepal, NPL
5.4835963, 2060-2079, mri_cgcm3, Dec Average, Nepal, NPL
2.6900725, 2060-2079, noresm1_m, Jan Average, Nepal, NPL
3.6790626, 2060-2079, noresm1_m, Feb Average, Nepal, NPL
7.064234, 2060-2079, noresm1_m, Mar Average, Nepal, NPL
11.858841, 2060-2079, noresm1_m, Apr Average, Nepal, NPL
16.453552, 2060-2079, noresm1_m, May Average, Nepal, NPL
20.132742, 2060-2079, noresm1_m, Jun Average, Nepal, NPL
19.925549, 2060-2079, noresm1_m, Jul Average, Nepal, NPL
19.362766, 2060-2079, noresm1_m, Aug Average, Nepal, NPL
17.716814, 2060-2079, noresm1_m, Sep Average, Nepal, NPL
12.114646, 2060-2079, noresm1_m, Oct Average, Nepal, NPL
6.9285007, 2060-2079, noresm1_m, Nov Average, Nepal, NPL
3.6730208, 2060-2079, noresm1_m, Dec Average, Nepal, NPL
0.54030734, 2060-2079, Ensemble (10th Percentile), Jan Average, Nepal, NPL
0.38762444, 2060-2079, Ensemble (10th Percentile), Feb Average, Nepal, NPL
0.48484847, 2060-2079, Ensemble (10th Percentile), Mar Average, Nepal, NPL
0.14243162, 2060-2079, Ensemble (10th Percentile), Apr Average, Nepal, NPL
0.27839217, 2060-2079, Ensemble (10th Percentile), May Average, Nepal, NPL
0.37052354, 2060-2079, Ensemble (10th Percentile), Jun Average, Nepal, NPL
0.5442504, 2060-2079, Ensemble (10th Percentile), Jul Average, Nepal, NPL
0.53076386, 2060-2079, Ensemble (10th Percentile), Aug Average, Nepal, NPL
0.5332825, 2060-2079, Ensemble (10th Percentile), Sep Average, Nepal, NPL
0.4932177, 2060-2079, Ensemble (10th Percentile), Oct Average, Nepal, NPL
0.5838016, 2060-2079, Ensemble (10th Percentile), Nov Average, Nepal, NPL
0.058584373, 2060-2079, Ensemble (10th Percentile), Dec Average, Nepal, NPL
1.6500576, 2060-2079, Ensemble (50th Percentile), Jan Average, Nepal, NPL
1.3424199, 2060-2079, Ensemble (50th Percentile), Feb Average, Nepal, NPL
1.3797562, 2060-2079, Ensemble (50th Percentile), Mar Average, Nepal, NPL
1.5035365, 2060-2079, Ensemble (50th Percentile), Apr Average, Nepal, NPL
1.4184413, 2060-2079, Ensemble (50th Percentile), May Average, Nepal, NPL
1.2690954, 2060-2079, Ensemble (50th Percentile), Jun Average, Nepal, NPL
1.0491326, 2060-2079, Ensemble (50th Percentile), Jul Average, Nepal, NPL
0.9886231, 2060-2079, Ensemble (50th Percentile), Aug Average, Nepal, NPL
1.1115695, 2060-2079, Ensemble (50th Percentile), Sep Average, Nepal, NPL
1.1572995, 2060-2079, Ensemble (50th Percentile), Oct Average, Nepal, NPL
1.3453779, 2060-2079, Ensemble (50th Percentile), Nov Average, Nepal, NPL
1.3751315, 2060-2079, Ensemble (50th Percentile), Dec Average, Nepal, NPL
3.3565161, 2060-2079, Ensemble (90th Percentile), Jan Average, Nepal, NPL
2.7761405, 2060-2079, Ensemble (90th Percentile), Feb Average, Nepal, NPL
2.4992864, 2060-2079, Ensemble (90th Percentile), Mar Average, Nepal, NPL
2.3622336, 2060-2079, Ensemble (90th Percentile), Apr Average, Nepal, NPL
2.525621, 2060-2079, Ensemble (90th Percentile), May Average, Nepal, NPL
2.452727, 2060-2079, Ensemble (90th Percentile), Jun Average, Nepal, NPL
2.1147153, 2060-2079, Ensemble (90th Percentile), Jul Average, Nepal, NPL
2.1093075, 2060-2079, Ensemble (90th Percentile), Aug Average, Nepal, NPL
2.321797, 2060-2079, Ensemble (90th Percentile), Sep Average, Nepal, NPL
2.278077, 2060-2079, Ensemble (90th Percentile), Oct Average, Nepal, NPL
2.2483037, 2060-2079, Ensemble (90th Percentile), Nov Average, Nepal, NPL
2.6323593, 2060-2079, Ensemble (90th Percentile), Dec Average, Nepal, NPL
