Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
12.319128, 2080-2099, fio_esm, Apr Average, Nepal, NPL
16.288208, 2080-2099, fio_esm, May Average, Nepal, NPL
19.858124, 2080-2099, fio_esm, Jun Average, Nepal, NPL
20.576323, 2080-2099, fio_esm, Jul Average, Nepal, NPL
19.526245, 2080-2099, fio_esm, Aug Average, Nepal, NPL
17.228182, 2080-2099, fio_esm, Sep Average, Nepal, NPL
12.45978, 2080-2099, fio_esm, Oct Average, Nepal, NPL
8.263583, 2080-2099, fio_esm, Nov Average, Nepal, NPL
5.495929, 2080-2099, fio_esm, Dec Average, Nepal, NPL
2.3765407, 2080-2099, gfdl_cm3, Jan Average, Nepal, NPL
4.4394107, 2080-2099, gfdl_cm3, Feb Average, Nepal, NPL
8.643298, 2080-2099, gfdl_cm3, Mar Average, Nepal, NPL
14.474458, 2080-2099, gfdl_cm3, Apr Average, Nepal, NPL
18.561636, 2080-2099, gfdl_cm3, May Average, Nepal, NPL
22.153355, 2080-2099, gfdl_cm3, Jun Average, Nepal, NPL
22.854128, 2080-2099, gfdl_cm3, Jul Average, Nepal, NPL
22.825964, 2080-2099, gfdl_cm3, Aug Average, Nepal, NPL
20.748068, 2080-2099, gfdl_cm3, Sep Average, Nepal, NPL
14.442548, 2080-2099, gfdl_cm3, Oct Average, Nepal, NPL
8.2998, 2080-2099, gfdl_cm3, Nov Average, Nepal, NPL
3.0277998, 2080-2099, gfdl_cm3, Dec Average, Nepal, NPL
3.1604736, 2080-2099, gfdl_esm2m, Jan Average, Nepal, NPL
4.015175, 2080-2099, gfdl_esm2m, Feb Average, Nepal, NPL
8.582334, 2080-2099, gfdl_esm2m, Mar Average, Nepal, NPL
13.846929, 2080-2099, gfdl_esm2m, Apr Average, Nepal, NPL
19.364063, 2080-2099, gfdl_esm2m, May Average, Nepal, NPL
21.899782, 2080-2099, gfdl_esm2m, Jun Average, Nepal, NPL
21.7251, 2080-2099, gfdl_esm2m, Jul Average, Nepal, NPL
20.775778, 2080-2099, gfdl_esm2m, Aug Average, Nepal, NPL
18.02487, 2080-2099, gfdl_esm2m, Sep Average, Nepal, NPL
13.004616, 2080-2099, gfdl_esm2m, Oct Average, Nepal, NPL
6.0325913, 2080-2099, gfdl_esm2m, Nov Average, Nepal, NPL
2.1455646, 2080-2099, gfdl_esm2m, Dec Average, Nepal, NPL
15.701388, 2080-2099, giss_e2_h, Jan Average, Nepal, NPL
17.36064, 2080-2099, giss_e2_h, Feb Average, Nepal, NPL
20.683006, 2080-2099, giss_e2_h, Mar Average, Nepal, NPL
24.504225, 2080-2099, giss_e2_h, Apr Average, Nepal, NPL
27.139736, 2080-2099, giss_e2_h, May Average, Nepal, NPL
28.757843, 2080-2099, giss_e2_h, Jun Average, Nepal, NPL
29.306782, 2080-2099, giss_e2_h, Jul Average, Nepal, NPL
27.718193, 2080-2099, giss_e2_h, Aug Average, Nepal, NPL
27.460688, 2080-2099, giss_e2_h, Sep Average, Nepal, NPL
24.435755, 2080-2099, giss_e2_h, Oct Average, Nepal, NPL
19.988787, 2080-2099, giss_e2_h, Nov Average, Nepal, NPL
17.412985, 2080-2099, giss_e2_h, Dec Average, Nepal, NPL
16.610123, 2080-2099, giss_e2_r, Jan Average, Nepal, NPL
18.385845, 2080-2099, giss_e2_r, Feb Average, Nepal, NPL
20.848513, 2080-2099, giss_e2_r, Mar Average, Nepal, NPL
24.862883, 2080-2099, giss_e2_r, Apr Average, Nepal, NPL
27.979881, 2080-2099, giss_e2_r, May Average, Nepal, NPL
29.23729, 2080-2099, giss_e2_r, Jun Average, Nepal, NPL
29.801418, 2080-2099, giss_e2_r, Jul Average, Nepal, NPL
28.357893, 2080-2099, giss_e2_r, Aug Average, Nepal, NPL
27.246367, 2080-2099, giss_e2_r, Sep Average, Nepal, NPL
24.645962, 2080-2099, giss_e2_r, Oct Average, Nepal, NPL
20.51824, 2080-2099, giss_e2_r, Nov Average, Nepal, NPL
17.719784, 2080-2099, giss_e2_r, Dec Average, Nepal, NPL
6.1179147, 2080-2099, ipsl_cm5a_mr, Jan Average, Nepal, NPL
7.381279, 2080-2099, ipsl_cm5a_mr, Feb Average, Nepal, NPL
10.743353, 2080-2099, ipsl_cm5a_mr, Mar Average, Nepal, NPL
14.614973, 2080-2099, ipsl_cm5a_mr, Apr Average, Nepal, NPL
