Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.9201497, 2080-2099, bcc_csm1_1, Jan Anomaly, Nepal, NPL
0.48012653, 2080-2099, bcc_csm1_1, Feb Anomaly, Nepal, NPL
0.6717607, 2080-2099, bcc_csm1_1, Mar Anomaly, Nepal, NPL
1.3867458, 2080-2099, bcc_csm1_1, Apr Anomaly, Nepal, NPL
1.1553684, 2080-2099, bcc_csm1_1, May Anomaly, Nepal, NPL
0.79400104, 2080-2099, bcc_csm1_1, Jun Anomaly, Nepal, NPL
0.7507691, 2080-2099, bcc_csm1_1, Jul Anomaly, Nepal, NPL
0.68339, 2080-2099, bcc_csm1_1, Aug Anomaly, Nepal, NPL
0.8050169, 2080-2099, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.0010312, 2080-2099, bcc_csm1_1, Oct Anomaly, Nepal, NPL
0.77656835, 2080-2099, bcc_csm1_1, Nov Anomaly, Nepal, NPL
0.93650645, 2080-2099, bcc_csm1_1, Dec Anomaly, Nepal, NPL
0.6532378, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
0.51917666, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
0.75233006, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
0.90829617, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
1.2610871, 2080-2099, bcc_csm1_1_m, May Anomaly, Nepal, NPL
1.1861892, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
0.98466843, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
0.92098373, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
0.572515, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
1.1392939, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
1.2116189, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
1.0841982, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
1.2208027, 2080-2099, ccsm4, Jan Anomaly, Nepal, NPL
0.912189, 2080-2099, ccsm4, Feb Anomaly, Nepal, NPL
1.2700788, 2080-2099, ccsm4, Mar Anomaly, Nepal, NPL
1.4312415, 2080-2099, ccsm4, Apr Anomaly, Nepal, NPL
1.6761714, 2080-2099, ccsm4, May Anomaly, Nepal, NPL
1.0749294, 2080-2099, ccsm4, Jun Anomaly, Nepal, NPL
0.930623, 2080-2099, ccsm4, Jul Anomaly, Nepal, NPL
0.87422705, 2080-2099, ccsm4, Aug Anomaly, Nepal, NPL
0.7775349, 2080-2099, ccsm4, Sep Anomaly, Nepal, NPL
1.1940545, 2080-2099, ccsm4, Oct Anomaly, Nepal, NPL
1.2671752, 2080-2099, ccsm4, Nov Anomaly, Nepal, NPL
0.72301644, 2080-2099, ccsm4, Dec Anomaly, Nepal, NPL
2.0684536, 2080-2099, cesm1_cam5, Jan Anomaly, Nepal, NPL
1.9401568, 2080-2099, cesm1_cam5, Feb Anomaly, Nepal, NPL
1.8619807, 2080-2099, cesm1_cam5, Mar Anomaly, Nepal, NPL
0.9154791, 2080-2099, cesm1_cam5, Apr Anomaly, Nepal, NPL
0.8640128, 2080-2099, cesm1_cam5, May Anomaly, Nepal, NPL
1.6321474, 2080-2099, cesm1_cam5, Jun Anomaly, Nepal, NPL
1.5898199, 2080-2099, cesm1_cam5, Jul Anomaly, Nepal, NPL
1.3409493, 2080-2099, cesm1_cam5, Aug Anomaly, Nepal, NPL
1.1936315, 2080-2099, cesm1_cam5, Sep Anomaly, Nepal, NPL
2.3129041, 2080-2099, cesm1_cam5, Oct Anomaly, Nepal, NPL
1.5830873, 2080-2099, cesm1_cam5, Nov Anomaly, Nepal, NPL
2.3576663, 2080-2099, cesm1_cam5, Dec Anomaly, Nepal, NPL
2.2674918, 2080-2099, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
2.141072, 2080-2099, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
1.5262028, 2080-2099, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
1.7809298, 2080-2099, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
1.8688074, 2080-2099, csiro_mk3_6_0, May Anomaly, Nepal, NPL
2.2909057, 2080-2099, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
2.0204873, 2080-2099, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
1.9817207, 2080-2099, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
1.7835971, 2080-2099, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
2.120183, 2080-2099, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
2.1018715, 2080-2099, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
1.9771284, 2080-2099, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
0.03873439, 2080-2099, fio_esm, Jan Anomaly, Nepal, NPL
0.18083799, 2080-2099, fio_esm, Feb Anomaly, Nepal, NPL
0.26500273, 2080-2099, fio_esm, Mar Anomaly, Nepal, NPL
-0.24939214, 2080-2099, fio_esm, Apr Anomaly, Nepal, NPL
-0.31586844, 2080-2099, fio_esm, May Anomaly, Nepal, NPL
