Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
0.30707, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.04908, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.75474, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.00887, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.66948, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.69985, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.55874, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.98857, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.82045, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.21322, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
2.59576, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
1.06241, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.21975, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.07724, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
1.1119, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
2.26002, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.71635, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.54196, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.22499, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.22557, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-0.066, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.3149, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.37843, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.03401, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.55792, 2040-2059, bnu_esm, Jan Anomaly, NPL
1.13126, 2040-2059, bnu_esm, Feb Anomaly, NPL
2.64432, 2040-2059, bnu_esm, Mar Anomaly, NPL
2.27067, 2040-2059, bnu_esm, Apr Anomaly, NPL
0.86121, 2040-2059, bnu_esm, May Anomaly, NPL
2.04253, 2040-2059, bnu_esm, Jun Anomaly, NPL
1.08639, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.74059, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.84705, 2040-2059, bnu_esm, Sep Anomaly, NPL
1.38234, 2040-2059, bnu_esm, Oct Anomaly, NPL
2.03441, 2040-2059, bnu_esm, Nov Anomaly, NPL
0.86068, 2040-2059, bnu_esm, Dec Anomaly, NPL
1.43683, 2040-2059, canesm2, Jan Anomaly, NPL
0.64688, 2040-2059, canesm2, Feb Anomaly, NPL
2.47399, 2040-2059, canesm2, Mar Anomaly, NPL
1.63367, 2040-2059, canesm2, Apr Anomaly, NPL
1.64511, 2040-2059, canesm2, May Anomaly, NPL
1.64378, 2040-2059, canesm2, Jun Anomaly, NPL
1.97747, 2040-2059, canesm2, Jul Anomaly, NPL
3.04942, 2040-2059, canesm2, Aug Anomaly, NPL
2.82355, 2040-2059, canesm2, Sep Anomaly, NPL
1.5761, 2040-2059, canesm2, Oct Anomaly, NPL
2.84573, 2040-2059, canesm2, Nov Anomaly, NPL
1.78158, 2040-2059, canesm2, Dec Anomaly, NPL
0.44366, 2040-2059, ccsm4, Jan Anomaly, NPL
1.16335, 2040-2059, ccsm4, Feb Anomaly, NPL
2.94369, 2040-2059, ccsm4, Mar Anomaly, NPL
1.54172, 2040-2059, ccsm4, Apr Anomaly, NPL
0.56399, 2040-2059, ccsm4, May Anomaly, NPL
1.00571, 2040-2059, ccsm4, Jun Anomaly, NPL
1.96189, 2040-2059, ccsm4, Jul Anomaly, NPL
1.55932, 2040-2059, ccsm4, Aug Anomaly, NPL
1.32081, 2040-2059, ccsm4, Sep Anomaly, NPL
1.20018, 2040-2059, ccsm4, Oct Anomaly, NPL
1.27588, 2040-2059, ccsm4, Nov Anomaly, NPL
0.42686, 2040-2059, ccsm4, Dec Anomaly, NPL
1.22099, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
1.54205, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
1.56836, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.47432, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
1.50108, 2040-2059, cesm1_cam5, May Anomaly, NPL
1.68869, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
2.9686, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
2.82282, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.52527, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
1.40014, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
1.80668, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
1.61112, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
0.12391, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
1.1117, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
1.93552, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
1.55956, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
0.49941, 2040-2059, cnrm_cm5, May Anomaly, NPL
-0.0281, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
1.75409, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
0.95721, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
0.77867, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
1.17714, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
0.67136, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
0.16727, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
0.27989, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
1.25458, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
1.83748, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.95183, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
0.42788, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
0.8373, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
1.49914, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
1.17365, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
-0.0267, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
2.1491, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
1.37746, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
0.40194, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
0.98532, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
1.23317, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
1.92706, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
1.98048, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
2.41991, 2040-2059, gfdl_cm3, May Anomaly, NPL
1.48526, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
2.34733, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
2.60652, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
2.90789, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
2.95195, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
2.22978, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
2.05148, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
0.69513, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
-0.0311, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
2.38327, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.94382, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
0.40638, 2040-2059, gfdl_esm2g, May Anomaly, NPL
0.57627, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
1.35546, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
1.24432, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
1.53102, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
2.13409, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
1.80236, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
0.45319, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
0.53445, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
0.36059, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
0.68019, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
1.23999, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
0.89758, 2040-2059, gfdl_esm2m, May Anomaly, NPL
1.28286, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
2.37394, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
1.64924, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
1.75633, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
2.28766, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
1.12746, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
0.01296, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
0.24879, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
1.16042, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
2.07453, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
0.2034, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
-0.0584, 2040-2059, hadgem2_ao, May Anomaly, NPL
0.58295, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.42082, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.74135, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
1.15176, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
1.94978, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
1.88508, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
0.39861, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
1.77572, 2040-2059, hadgem2_es, Jan Anomaly, NPL
2.57567, 2040-2059, hadgem2_es, Feb Anomaly, NPL
3.17258, 2040-2059, hadgem2_es, Mar Anomaly, NPL
1.31146, 2040-2059, hadgem2_es, Apr Anomaly, NPL
0.79768, 2040-2059, hadgem2_es, May Anomaly, NPL
1.55514, 2040-2059, hadgem2_es, Jun Anomaly, NPL
1.27357, 2040-2059, hadgem2_es, Jul Anomaly, NPL
1.28493, 2040-2059, hadgem2_es, Aug Anomaly, NPL
1.59777, 2040-2059, hadgem2_es, Sep Anomaly, NPL
2.63655, 2040-2059, hadgem2_es, Oct Anomaly, NPL
3.64221, 2040-2059, hadgem2_es, Nov Anomaly, NPL
0.86857, 2040-2059, hadgem2_es, Dec Anomaly, NPL
0.80987, 2040-2059, ipsl_cm5a_lr, Jan Anomaly, NPL
1.20591, 2040-2059, ipsl_cm5a_lr, Feb Anomaly, NPL
2.253, 2040-2059, ipsl_cm5a_lr, Mar Anomaly, NPL
1.63422, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
1.54473, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
0.26113, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
0.40384, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
1.13781, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
1.89797, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
