Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
2.24143, 2060-2079, access1_0, Jan Anomaly, NPL
5.25978, 2060-2079, access1_0, Feb Anomaly, NPL
7.2276, 2060-2079, access1_0, Mar Anomaly, NPL
3.68179, 2060-2079, access1_0, Apr Anomaly, NPL
2.51925, 2060-2079, access1_0, May Anomaly, NPL
1.62511, 2060-2079, access1_0, Jun Anomaly, NPL
2.34574, 2060-2079, access1_0, Jul Anomaly, NPL
2.49982, 2060-2079, access1_0, Aug Anomaly, NPL
3.10456, 2060-2079, access1_0, Sep Anomaly, NPL
6.73724, 2060-2079, access1_0, Oct Anomaly, NPL
7.05143, 2060-2079, access1_0, Nov Anomaly, NPL
3.72052, 2060-2079, access1_0, Dec Anomaly, NPL
1.0453, 2060-2079, access1_3, Jan Anomaly, NPL
2.72427, 2060-2079, access1_3, Feb Anomaly, NPL
5.35601, 2060-2079, access1_3, Mar Anomaly, NPL
3.97931, 2060-2079, access1_3, Apr Anomaly, NPL
2.51971, 2060-2079, access1_3, May Anomaly, NPL
0.82974, 2060-2079, access1_3, Jun Anomaly, NPL
1.59914, 2060-2079, access1_3, Jul Anomaly, NPL
1.31579, 2060-2079, access1_3, Aug Anomaly, NPL
2.3558, 2060-2079, access1_3, Sep Anomaly, NPL
3.99801, 2060-2079, access1_3, Oct Anomaly, NPL
4.1423, 2060-2079, access1_3, Nov Anomaly, NPL
1.68563, 2060-2079, access1_3, Dec Anomaly, NPL
1.321, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
1.97445, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
4.59531, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
3.75244, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
1.85407, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.35394, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
3.70734, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
3.69689, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
2.65881, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
3.11031, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
4.72549, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
1.82691, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.42772, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.82723, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
4.36364, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
3.9944, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.73557, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.61862, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
3.65276, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.96429, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.27107, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
4.30321, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
3.09625, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.51832, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
2.30835, 2060-2079, bnu_esm, Jan Anomaly, NPL
3.64022, 2060-2079, bnu_esm, Feb Anomaly, NPL
6.66392, 2060-2079, bnu_esm, Mar Anomaly, NPL
3.85305, 2060-2079, bnu_esm, Apr Anomaly, NPL
2.02017, 2060-2079, bnu_esm, May Anomaly, NPL
4.00411, 2060-2079, bnu_esm, Jun Anomaly, NPL
3.1199, 2060-2079, bnu_esm, Jul Anomaly, NPL
2.43505, 2060-2079, bnu_esm, Aug Anomaly, NPL
2.20824, 2060-2079, bnu_esm, Sep Anomaly, NPL
3.48431, 2060-2079, bnu_esm, Oct Anomaly, NPL
3.95006, 2060-2079, bnu_esm, Nov Anomaly, NPL
2.25668, 2060-2079, bnu_esm, Dec Anomaly, NPL
2.93101, 2060-2079, canesm2, Jan Anomaly, NPL
3.63236, 2060-2079, canesm2, Feb Anomaly, NPL
6.17131, 2060-2079, canesm2, Mar Anomaly, NPL
2.83777, 2060-2079, canesm2, Apr Anomaly, NPL
3.12515, 2060-2079, canesm2, May Anomaly, NPL
3.44962, 2060-2079, canesm2, Jun Anomaly, NPL
4.75584, 2060-2079, canesm2, Jul Anomaly, NPL
5.82204, 2060-2079, canesm2, Aug Anomaly, NPL
5.81887, 2060-2079, canesm2, Sep Anomaly, NPL
5.03475, 2060-2079, canesm2, Oct Anomaly, NPL
5.45462, 2060-2079, canesm2, Nov Anomaly, NPL
3.61135, 2060-2079, canesm2, Dec Anomaly, NPL
2.78168, 2060-2079, ccsm4, Jan Anomaly, NPL
3.38032, 2060-2079, ccsm4, Feb Anomaly, NPL
6.55466, 2060-2079, ccsm4, Mar Anomaly, NPL
3.07671, 2060-2079, ccsm4, Apr Anomaly, NPL
1.71913, 2060-2079, ccsm4, May Anomaly, NPL
2.96779, 2060-2079, ccsm4, Jun Anomaly, NPL
4.27236, 2060-2079, ccsm4, Jul Anomaly, NPL
3.70621, 2060-2079, ccsm4, Aug Anomaly, NPL
4.38096, 2060-2079, ccsm4, Sep Anomaly, NPL
4.2271, 2060-2079, ccsm4, Oct Anomaly, NPL
4.94203, 2060-2079, ccsm4, Nov Anomaly, NPL
3.74646, 2060-2079, ccsm4, Dec Anomaly, NPL
2.54332, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
3.27281, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
5.87791, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
2.61128, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
1.42166, 2060-2079, cesm1_bgc, May Anomaly, NPL
3.54163, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
4.1695, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
3.63533, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
5.09756, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
4.55338, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
5.64302, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
3.40603, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
4.4251, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
4.97419, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
4.41215, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
2.55799, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
2.72721, 2060-2079, cesm1_cam5, May Anomaly, NPL
4.66308, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
5.77058, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
5.22395, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
5.67357, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
4.99711, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
7.34, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
5.33465, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
2.65484, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
4.66994, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
7.24367, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
4.14523, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
2.85703, 2060-2079, cmcc_cesm, May Anomaly, NPL
3.1388, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
1.83276, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
2.05098, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
