Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
3.36794, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
1.56067, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
0.9131, 2060-2079, cesm1_bgc, May Anomaly, NPL
1.80645, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
2.33213, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
2.53648, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
3.31703, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
2.35139, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
3.4085, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
2.05686, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
2.62239, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
3.89177, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
2.474, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
1.63314, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
1.29182, 2060-2079, cesm1_cam5, May Anomaly, NPL
3.08868, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
4.5691, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
3.88991, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
4.1765, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
3.24299, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
5.88143, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
3.78116, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
0.73657, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
2.72859, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
2.13223, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
2.23911, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
0.51382, 2060-2079, cnrm_cm5, May Anomaly, NPL
0.7302, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
2.27241, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
2.18872, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
1.0867, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
2.8049, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
3.09554, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
0.68065, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
0.77177, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
1.98257, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
3.26894, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.8084, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
1.10604, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
1.05539, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
2.67003, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
2.20893, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
1.36, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
1.92711, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
2.61015, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.92467, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
2.11945, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
3.8545, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
5.04906, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
3.1783, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
3.02139, 2060-2079, gfdl_cm3, May Anomaly, NPL
2.37723, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
3.00165, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
3.5517, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
4.58302, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
5.77948, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
5.56321, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
3.42056, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
1.0275, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
1.18017, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
4.13321, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
2.2852, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
0.95808, 2060-2079, gfdl_esm2g, May Anomaly, NPL
1.62327, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
2.51694, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
1.85589, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
2.82997, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
3.71727, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
2.86193, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
1.42256, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
1.06241, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
1.55635, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
3.18553, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
1.96121, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
1.31982, 2060-2079, gfdl_esm2m, May Anomaly, NPL
1.79904, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
3.10492, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
2.81776, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
2.96813, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
4.12656, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
2.26128, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
0.65533, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
1.21087, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
3.80558, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
5.57575, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
3.16443, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
1.56808, 2060-2079, hadgem2_ao, May Anomaly, NPL
1.2008, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
1.5116, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
1.61086, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
2.34569, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
4.44258, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
5.08955, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
1.76203, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
1.51427, 2060-2079, hadgem2_cc, Jan Anomaly, NPL
2.84351, 2060-2079, hadgem2_cc, Feb Anomaly, NPL
4.73441, 2060-2079, hadgem2_cc, Mar Anomaly, NPL
3.18356, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
2.10768, 2060-2079, hadgem2_cc, May Anomaly, NPL
1.81388, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
1.4041, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
1.45144, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
1.87047, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
3.91643, 2060-2079, hadgem2_cc, Oct Anomaly, NPL
5.44392, 2060-2079, hadgem2_cc, Nov Anomaly, NPL
2.2239, 2060-2079, hadgem2_cc, Dec Anomaly, NPL
0.60252, 2060-2079, inmcm4, Jan Anomaly, NPL
1.36206, 2060-2079, inmcm4, Feb Anomaly, NPL
2.13948, 2060-2079, inmcm4, Mar Anomaly, NPL
1.82884, 2060-2079, inmcm4, Apr Anomaly, NPL
0.62436, 2060-2079, inmcm4, May Anomaly, NPL
0.40575, 2060-2079, inmcm4, Jun Anomaly, NPL
0.64292, 2060-2079, inmcm4, Jul Anomaly, NPL
1.11703, 2060-2079, inmcm4, Aug Anomaly, NPL
1.63449, 2060-2079, inmcm4, Sep Anomaly, NPL
1.31928, 2060-2079, inmcm4, Oct Anomaly, NPL
0.4225, 2060-2079, inmcm4, Nov Anomaly, NPL
0.51411, 2060-2079, inmcm4, Dec Anomaly, NPL
1.76245, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
2.92824, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
4.71736, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
4.03691, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
2.68268, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
0.59439, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
0.81192, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
1.86765, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
2.62208, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
5.24075, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
4.04543, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
2.16138, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
1.34694, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
2.98323, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
4.46935, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
3.79221, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
1.99253, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
1.48635, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
2.21959, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
2.83045, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
3.4948, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
4.79515, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
3.7858, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
1.5743, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
0.37173, 2060-2079, ipsl_cm5b_lr, Jan Anomaly, NPL
0.56878, 2060-2079, ipsl_cm5b_lr, Feb Anomaly, NPL
1.4349, 2060-2079, ipsl_cm5b_lr, Mar Anomaly, NPL
2.55536, 2060-2079, ipsl_cm5b_lr, Apr Anomaly, NPL
1.71444, 2060-2079, ipsl_cm5b_lr, May Anomaly, NPL
0.87484, 2060-2079, ipsl_cm5b_lr, Jun Anomaly, NPL
0.60046, 2060-2079, ipsl_cm5b_lr, Jul Anomaly, NPL
0.60847, 2060-2079, ipsl_cm5b_lr, Aug Anomaly, NPL
0.84439, 2060-2079, ipsl_cm5b_lr, Sep Anomaly, NPL
2.20482, 2060-2079, ipsl_cm5b_lr, Oct Anomaly, NPL
2.02925, 2060-2079, ipsl_cm5b_lr, Nov Anomaly, NPL
0.39676, 2060-2079, ipsl_cm5b_lr, Dec Anomaly, NPL
1.34177, 2060-2079, miroc5, Jan Anomaly, NPL
3.11362, 2060-2079, miroc5, Feb Anomaly, NPL
4.56043, 2060-2079, miroc5, Mar Anomaly, NPL
2.90741, 2060-2079, miroc5, Apr Anomaly, NPL
1.31793, 2060-2079, miroc5, May Anomaly, NPL
1.47968, 2060-2079, miroc5, Jun Anomaly, NPL
1.42261, 2060-2079, miroc5, Jul Anomaly, NPL
2.04285, 2060-2079, miroc5, Aug Anomaly, NPL
2.01335, 2060-2079, miroc5, Sep Anomaly, NPL
2.49877, 2060-2079, miroc5, Oct Anomaly, NPL
4.22019, 2060-2079, miroc5, Nov Anomaly, NPL
1.9657, 2060-2079, miroc5, Dec Anomaly, NPL
1.68881, 2060-2079, miroc_esm_chem, Jan Anomaly, NPL
2.9852, 2060-2079, miroc_esm_chem, Feb Anomaly, NPL
4.6949, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
4.42546, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
2.44416, 2060-2079, miroc_esm_chem, May Anomaly, NPL
1.6756, 2060-2079, miroc_esm_chem, Jun Anomaly, NPL
0.38781, 2060-2079, miroc_esm_chem, Jul Anomaly, NPL
1.95957, 2060-2079, miroc_esm_chem, Aug Anomaly, NPL
1.88609, 2060-2079, miroc_esm_chem, Sep Anomaly, NPL
2.19727, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
2.81428, 2060-2079, miroc_esm_chem, Nov Anomaly, NPL
1.73638, 2060-2079, miroc_esm_chem, Dec Anomaly, NPL
2.13566, 2060-2079, miroc_esm, Jan Anomaly, NPL
2.92276, 2060-2079, miroc_esm, Feb Anomaly, NPL
4.1662, 2060-2079, miroc_esm, Mar Anomaly, NPL
4.11973, 2060-2079, miroc_esm, Apr Anomaly, NPL
1.95203, 2060-2079, miroc_esm, May Anomaly, NPL
1.35076, 2060-2079, miroc_esm, Jun Anomaly, NPL
0.30062, 2060-2079, miroc_esm, Jul Anomaly, NPL
1.85973, 2060-2079, miroc_esm, Aug Anomaly, NPL
2.01459, 2060-2079, miroc_esm, Sep Anomaly, NPL
3.91656, 2060-2079, miroc_esm, Oct Anomaly, NPL
3.33252, 2060-2079, miroc_esm, Nov Anomaly, NPL
1.92166, 2060-2079, miroc_esm, Dec Anomaly, NPL
0.99329, 2060-2079, mpi_esm_lr, Jan Anomaly, NPL
1.70824, 2060-2079, mpi_esm_lr, Feb Anomaly, NPL
4.66612, 2060-2079, mpi_esm_lr, Mar Anomaly, NPL
2.60565, 2060-2079, mpi_esm_lr, Apr Anomaly, NPL
1.18236, 2060-2079, mpi_esm_lr, May Anomaly, NPL
0.86894, 2060-2079, mpi_esm_lr, Jun Anomaly, NPL
2.69522, 2060-2079, mpi_esm_lr, Jul Anomaly, NPL
2.74637, 2060-2079, mpi_esm_lr, Aug Anomaly, NPL
2.47146, 2060-2079, mpi_esm_lr, Sep Anomaly, NPL
3.14271, 2060-2079, mpi_esm_lr, Oct Anomaly, NPL
2.85594, 2060-2079, mpi_esm_lr, Nov Anomaly, NPL
1.89425, 2060-2079, mpi_esm_lr, Dec Anomaly, NPL
0.90657, 2060-2079, mpi_esm_mr, Jan Anomaly, NPL
1.50154, 2060-2079, mpi_esm_mr, Feb Anomaly, NPL
2.43297, 2060-2079, mpi_esm_mr, Mar Anomaly, NPL
1.76776, 2060-2079, mpi_esm_mr, Apr Anomaly, NPL
1.13366, 2060-2079, mpi_esm_mr, May Anomaly, NPL
1.47243, 2060-2079, mpi_esm_mr, Jun Anomaly, NPL
3.10974, 2060-2079, mpi_esm_mr, Jul Anomaly, NPL
2.82628, 2060-2079, mpi_esm_mr, Aug Anomaly, NPL
2.36725, 2060-2079, mpi_esm_mr, Sep Anomaly, NPL
3.42129, 2060-2079, mpi_esm_mr, Oct Anomaly, NPL
2.80847, 2060-2079, mpi_esm_mr, Nov Anomaly, NPL
1.15897, 2060-2079, mpi_esm_mr, Dec Anomaly, NPL
0.15583, 2060-2079, mri_cgcm3, Jan Anomaly, NPL
0.46944, 2060-2079, mri_cgcm3, Feb Anomaly, NPL
3.82515, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
2.86853, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
0.50819, 2060-2079, mri_cgcm3, May Anomaly, NPL
0.98973, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
2.15773, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
2.82483, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
2.58826, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
2.4945, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
1.78317, 2060-2079, mri_cgcm3, Nov Anomaly, NPL
0.20188, 2060-2079, mri_cgcm3, Dec Anomaly, NPL
1.53672, 2060-2079, noresm1_m, Jan Anomaly, NPL
1.33625, 2060-2079, noresm1_m, Feb Anomaly, NPL
2.72833, 2060-2079, noresm1_m, Mar Anomaly, NPL
