Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
0.56627, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.57735, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
3.5385, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
2.33203, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.77022, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.09877, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.28024, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.50209, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.63848, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.73718, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.84462, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.94324, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.09132, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.01328, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
1.42413, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.72325, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.74673, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.53631, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.17406, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-0.2847, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.32911, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
2.05725, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
1.57069, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.1515, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.69373, 2060-2079, bnu_esm, Jan Anomaly, NPL
1.01886, 2060-2079, bnu_esm, Feb Anomaly, NPL
3.1316, 2060-2079, bnu_esm, Mar Anomaly, NPL
2.48482, 2060-2079, bnu_esm, Apr Anomaly, NPL
0.76835, 2060-2079, bnu_esm, May Anomaly, NPL
1.59462, 2060-2079, bnu_esm, Jun Anomaly, NPL
1.18074, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.0396, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.27843, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.2622, 2060-2079, bnu_esm, Oct Anomaly, NPL
1.39227, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.60494, 2060-2079, bnu_esm, Dec Anomaly, NPL
1.25989, 2060-2079, canesm2, Jan Anomaly, NPL
1.48838, 2060-2079, canesm2, Feb Anomaly, NPL
2.99677, 2060-2079, canesm2, Mar Anomaly, NPL
2.12159, 2060-2079, canesm2, Apr Anomaly, NPL
2.32512, 2060-2079, canesm2, May Anomaly, NPL
1.66725, 2060-2079, canesm2, Jun Anomaly, NPL
3.14959, 2060-2079, canesm2, Jul Anomaly, NPL
3.42516, 2060-2079, canesm2, Aug Anomaly, NPL
3.55806, 2060-2079, canesm2, Sep Anomaly, NPL
1.91412, 2060-2079, canesm2, Oct Anomaly, NPL
2.75984, 2060-2079, canesm2, Nov Anomaly, NPL
1.33123, 2060-2079, canesm2, Dec Anomaly, NPL
0.60413, 2060-2079, ccsm4, Jan Anomaly, NPL
0.62925, 2060-2079, ccsm4, Feb Anomaly, NPL
2.18501, 2060-2079, ccsm4, Mar Anomaly, NPL
0.93094, 2060-2079, ccsm4, Apr Anomaly, NPL
0.96074, 2060-2079, ccsm4, May Anomaly, NPL
1.40399, 2060-2079, ccsm4, Jun Anomaly, NPL
1.47328, 2060-2079, ccsm4, Jul Anomaly, NPL
1.67077, 2060-2079, ccsm4, Aug Anomaly, NPL
1.72185, 2060-2079, ccsm4, Sep Anomaly, NPL
1.19324, 2060-2079, ccsm4, Oct Anomaly, NPL
1.66378, 2060-2079, ccsm4, Nov Anomaly, NPL
