Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.5324, 2020-2039, access1_0, Jan Anomaly, NPL
-1.5251, 2020-2039, access1_0, Feb Anomaly, NPL
-0.7797, 2020-2039, access1_0, Mar Anomaly, NPL
-0.148, 2020-2039, access1_0, Apr Anomaly, NPL
-0.0014, 2020-2039, access1_0, May Anomaly, NPL
-0.0701, 2020-2039, access1_0, Oct Anomaly, NPL
-1.1823, 2020-2039, access1_0, Nov Anomaly, NPL
-2.1641, 2020-2039, access1_0, Dec Anomaly, NPL
-1.5965, 2020-2039, access1_3, Jan Anomaly, NPL
-1.6124, 2020-2039, access1_3, Feb Anomaly, NPL
-1.0323, 2020-2039, access1_3, Mar Anomaly, NPL
-0.2306, 2020-2039, access1_3, Apr Anomaly, NPL
-0.0036, 2020-2039, access1_3, May Anomaly, NPL
-0.048, 2020-2039, access1_3, Oct Anomaly, NPL
-0.9342, 2020-2039, access1_3, Nov Anomaly, NPL
-2.1602, 2020-2039, access1_3, Dec Anomaly, NPL
-1.7189, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-1.2577, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-1.0627, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1852, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0043, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.0112, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.1855, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-1.2284, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-2.0291, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.8423, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-0.8384, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-1.0907, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.1013, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-7.0E-4, 2020-2039, bcc_csm1_1, May Anomaly, NPL
-3.0E-4, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-0.1483, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-0.6479, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
