Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-4.3845, 2060-2079, access1_0, Jan Anomaly, NPL
-4.2725, 2060-2079, access1_0, Feb Anomaly, NPL
-2.2888, 2060-2079, access1_0, Mar Anomaly, NPL
-0.2102, 2060-2079, access1_0, Apr Anomaly, NPL
-0.0014, 2060-2079, access1_0, May Anomaly, NPL
-0.105, 2060-2079, access1_0, Oct Anomaly, NPL
-1.6862, 2060-2079, access1_0, Nov Anomaly, NPL
-4.4216, 2060-2079, access1_0, Dec Anomaly, NPL
-5.4599, 2060-2079, access1_3, Jan Anomaly, NPL
-4.0135, 2060-2079, access1_3, Feb Anomaly, NPL
-1.9923, 2060-2079, access1_3, Mar Anomaly, NPL
-0.2929, 2060-2079, access1_3, Apr Anomaly, NPL
-0.0036, 2060-2079, access1_3, May Anomaly, NPL
-0.0758, 2060-2079, access1_3, Oct Anomaly, NPL
-1.7648, 2060-2079, access1_3, Nov Anomaly, NPL
-5.1769, 2060-2079, access1_3, Dec Anomaly, NPL
-4.0926, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-2.8218, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-1.6919, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2663, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0087, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.014, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2615, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-2.2286, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-3.8553, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-2.6323, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-2.0006, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-2.3586, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.1627, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.0041, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-3.0E-4, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.236, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-2.1598, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-2.3344, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-3.7945, 2060-2079, bnu_esm, Jan Anomaly, NPL
-3.9123, 2060-2079, bnu_esm, Feb Anomaly, NPL
-2.8227, 2060-2079, bnu_esm, Mar Anomaly, NPL
-0.5175, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.0072, 2060-2079, bnu_esm, May Anomaly, NPL
-7.0E-4, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.2552, 2060-2079, bnu_esm, Oct Anomaly, NPL
-1.9306, 2060-2079, bnu_esm, Nov Anomaly, NPL
-3.7616, 2060-2079, bnu_esm, Dec Anomaly, NPL
-4.0561, 2060-2079, canesm2, Jan Anomaly, NPL
-4.3312, 2060-2079, canesm2, Feb Anomaly, NPL
-3.8413, 2060-2079, canesm2, Mar Anomaly, NPL
-0.7857, 2060-2079, canesm2, Apr Anomaly, NPL
-0.0441, 2060-2079, canesm2, May Anomaly, NPL
-3.0E-4, 2060-2079, canesm2, Jun Anomaly, NPL
-0.0666, 2060-2079, canesm2, Oct Anomaly, NPL
-1.6213, 2060-2079, canesm2, Nov Anomaly, NPL
-4.8506, 2060-2079, canesm2, Dec Anomaly, NPL
-3.9386, 2060-2079, ccsm4, Jan Anomaly, NPL
-3.4703, 2060-2079, ccsm4, Feb Anomaly, NPL
-3.0713, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.4346, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.0111, 2060-2079, ccsm4, May Anomaly, NPL
-0.0432, 2060-2079, ccsm4, Oct Anomaly, NPL
-1.3294, 2060-2079, ccsm4, Nov Anomaly, NPL
-3.5595, 2060-2079, ccsm4, Dec Anomaly, NPL
-3.1716, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
-3.1438, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
-2.8195, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-0.4197, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-0.0139, 2060-2079, cesm1_bgc, May Anomaly, NPL
-0.0782, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
-1.4043, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
-3.3488, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
-3.4404, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-3.3421, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-2.0908, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-0.3071, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-0.0039, 2060-2079, cesm1_cam5, May Anomaly, NPL
-0.0435, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-0.8517, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-2.7579, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-4.2708, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
-3.1291, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
-1.3775, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
-0.3327, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
-0.0085, 2060-2079, cmcc_cesm, May Anomaly, NPL
-0.0015, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
-0.0026, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
-0.1109, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
-1.9253, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
-4.9166, 2060-2079, cmcc_cesm, Dec Anomaly, NPL
-4.6456, 2060-2079, cmcc_cm, Jan Anomaly, NPL
-4.1393, 2060-2079, cmcc_cm, Feb Anomaly, NPL
-1.6951, 2060-2079, cmcc_cm, Mar Anomaly, NPL
-0.2056, 2060-2079, cmcc_cm, Apr Anomaly, NPL
-0.0088, 2060-2079, cmcc_cm, May Anomaly, NPL
-0.0678, 2060-2079, cmcc_cm, Oct Anomaly, NPL
-1.2703, 2060-2079, cmcc_cm, Nov Anomaly, NPL
-4.1913, 2060-2079, cmcc_cm, Dec Anomaly, NPL
-4.9923, 2060-2079, cmcc_cms, Jan Anomaly, NPL
