Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-5.9594, 2080-2099, access1_0, Jan Anomaly, NPL
-4.9655, 2080-2099, access1_0, Feb Anomaly, NPL
-2.4398, 2080-2099, access1_0, Mar Anomaly, NPL
-0.2171, 2080-2099, access1_0, Apr Anomaly, NPL
-0.0014, 2080-2099, access1_0, May Anomaly, NPL
-0.1054, 2080-2099, access1_0, Oct Anomaly, NPL
-1.7635, 2080-2099, access1_0, Nov Anomaly, NPL
-4.9746, 2080-2099, access1_0, Dec Anomaly, NPL
-6.0242, 2080-2099, access1_3, Jan Anomaly, NPL
-4.574, 2080-2099, access1_3, Feb Anomaly, NPL
-2.1721, 2080-2099, access1_3, Mar Anomaly, NPL
-0.2941, 2080-2099, access1_3, Apr Anomaly, NPL
-0.0036, 2080-2099, access1_3, May Anomaly, NPL
-0.0758, 2080-2099, access1_3, Oct Anomaly, NPL
-1.8129, 2080-2099, access1_3, Nov Anomaly, NPL
-5.5824, 2080-2099, access1_3, Dec Anomaly, NPL
-4.9449, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-3.6915, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-2.1347, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.271, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0087, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.014, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2902, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-2.3471, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-5.133, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-4.3012, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-3.5312, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-2.5236, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.2006, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-0.0045, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-3.0E-4, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.2439, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-3.1529, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-3.8213, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-6.9133, 2080-2099, bnu_esm, Jan Anomaly, NPL
-5.6318, 2080-2099, bnu_esm, Feb Anomaly, NPL
-3.3048, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.529, 2080-2099, bnu_esm, Apr Anomaly, NPL
-0.0072, 2080-2099, bnu_esm, May Anomaly, NPL
-7.0E-4, 2080-2099, bnu_esm, Sep Anomaly, NPL
-0.2684, 2080-2099, bnu_esm, Oct Anomaly, NPL
-2.5008, 2080-2099, bnu_esm, Nov Anomaly, NPL
-6.5355, 2080-2099, bnu_esm, Dec Anomaly, NPL
-5.4042, 2080-2099, canesm2, Jan Anomaly, NPL
-4.5647, 2080-2099, canesm2, Feb Anomaly, NPL
-4.1683, 2080-2099, canesm2, Mar Anomaly, NPL
-0.8724, 2080-2099, canesm2, Apr Anomaly, NPL
-0.0457, 2080-2099, canesm2, May Anomaly, NPL
-3.0E-4, 2080-2099, canesm2, Jun Anomaly, NPL
-0.0669, 2080-2099, canesm2, Oct Anomaly, NPL
-1.6541, 2080-2099, canesm2, Nov Anomaly, NPL
-5.7749, 2080-2099, canesm2, Dec Anomaly, NPL
-4.3191, 2080-2099, ccsm4, Jan Anomaly, NPL
-4.3179, 2080-2099, ccsm4, Feb Anomaly, NPL
-3.3364, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.45, 2080-2099, ccsm4, Apr Anomaly, NPL
-0.0111, 2080-2099, ccsm4, May Anomaly, NPL
-0.0432, 2080-2099, ccsm4, Oct Anomaly, NPL
-1.4064, 2080-2099, ccsm4, Nov Anomaly, NPL
-3.9315, 2080-2099, ccsm4, Dec Anomaly, NPL
-4.6925, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
-4.0911, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-2.9862, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-0.4404, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-0.0139, 2080-2099, cesm1_bgc, May Anomaly, NPL
-0.079, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-1.6008, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-4.2147, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-4.5586, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-4.0887, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-2.2277, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.3398, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-0.0039, 2080-2099, cesm1_cam5, May Anomaly, NPL
-0.0435, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-0.985, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-3.2319, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-5.1798, 2080-2099, cmcc_cesm, Jan Anomaly, NPL
-3.9303, 2080-2099, cmcc_cesm, Feb Anomaly, NPL
-1.4407, 2080-2099, cmcc_cesm, Mar Anomaly, NPL
-0.3396, 2080-2099, cmcc_cesm, Apr Anomaly, NPL
-0.0122, 2080-2099, cmcc_cesm, May Anomaly, NPL
-0.0015, 2080-2099, cmcc_cesm, Jun Anomaly, NPL
-0.0026, 2080-2099, cmcc_cesm, Sep Anomaly, NPL
-0.1168, 2080-2099, cmcc_cesm, Oct Anomaly, NPL
-2.0258, 2080-2099, cmcc_cesm, Nov Anomaly, NPL
-5.5004, 2080-2099, cmcc_cesm, Dec Anomaly, NPL
-5.4666, 2080-2099, cmcc_cm, Jan Anomaly, NPL
-4.6245, 2080-2099, cmcc_cm, Feb Anomaly, NPL
-1.7915, 2080-2099, cmcc_cm, Mar Anomaly, NPL
-0.2084, 2080-2099, cmcc_cm, Apr Anomaly, NPL
-0.0088, 2080-2099, cmcc_cm, May Anomaly, NPL
-0.0678, 2080-2099, cmcc_cm, Oct Anomaly, NPL
-1.3619, 2080-2099, cmcc_cm, Nov Anomaly, NPL
-4.8703, 2080-2099, cmcc_cm, Dec Anomaly, NPL
-6.4483, 2080-2099, cmcc_cms, Jan Anomaly, NPL
-4.6682, 2080-2099, cmcc_cms, Feb Anomaly, NPL
-2.1463, 2080-2099, cmcc_cms, Mar Anomaly, NPL
-0.2233, 2080-2099, cmcc_cms, Apr Anomaly, NPL
-0.0038, 2080-2099, cmcc_cms, May Anomaly, NPL
-0.1857, 2080-2099, cmcc_cms, Oct Anomaly, NPL
