Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.8405, 2040-2059, access1_0, Jan Anomaly, NPL
-3.2501, 2040-2059, access1_0, Feb Anomaly, NPL
-1.5934, 2040-2059, access1_0, Mar Anomaly, NPL
-0.1887, 2040-2059, access1_0, Apr Anomaly, NPL
-0.0014, 2040-2059, access1_0, May Anomaly, NPL
-0.1028, 2040-2059, access1_0, Oct Anomaly, NPL
-1.3784, 2040-2059, access1_0, Nov Anomaly, NPL
-3.4612, 2040-2059, access1_0, Dec Anomaly, NPL
-3.729, 2040-2059, access1_3, Jan Anomaly, NPL
-2.5907, 2040-2059, access1_3, Feb Anomaly, NPL
-1.421, 2040-2059, access1_3, Mar Anomaly, NPL
-0.2561, 2040-2059, access1_3, Apr Anomaly, NPL
-0.0033, 2040-2059, access1_3, May Anomaly, NPL
-0.0744, 2040-2059, access1_3, Oct Anomaly, NPL
-1.5922, 2040-2059, access1_3, Nov Anomaly, NPL
-4.2127, 2040-2059, access1_3, Dec Anomaly, NPL
-2.6194, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-2.4057, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-1.6309, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2178, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0087, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.014, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2146, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-1.9128, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-2.5417, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-1.3162, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-1.0336, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-1.3748, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.2049, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-0.0045, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-3.0E-4, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-0.217, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-1.6437, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-0.8838, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-2.8282, 2040-2059, bnu_esm, Jan Anomaly, NPL
-2.35, 2040-2059, bnu_esm, Feb Anomaly, NPL
-2.337, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.4738, 2040-2059, bnu_esm, Apr Anomaly, NPL
-0.0068, 2040-2059, bnu_esm, May Anomaly, NPL
-7.0E-4, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.24, 2040-2059, bnu_esm, Oct Anomaly, NPL
-1.6641, 2040-2059, bnu_esm, Nov Anomaly, NPL
-3.5206, 2040-2059, bnu_esm, Dec Anomaly, NPL
-2.5051, 2040-2059, canesm2, Jan Anomaly, NPL
-2.5417, 2040-2059, canesm2, Feb Anomaly, NPL
-2.8891, 2040-2059, canesm2, Mar Anomaly, NPL
-0.6092, 2040-2059, canesm2, Apr Anomaly, NPL
-0.043, 2040-2059, canesm2, May Anomaly, NPL
-3.0E-4, 2040-2059, canesm2, Jun Anomaly, NPL
-0.0474, 2040-2059, canesm2, Oct Anomaly, NPL
-1.1554, 2040-2059, canesm2, Nov Anomaly, NPL
-3.3289, 2040-2059, canesm2, Dec Anomaly, NPL
-2.3977, 2040-2059, ccsm4, Jan Anomaly, NPL
-2.1158, 2040-2059, ccsm4, Feb Anomaly, NPL
-2.5459, 2040-2059, ccsm4, Mar Anomaly, NPL
-0.3334, 2040-2059, ccsm4, Apr Anomaly, NPL
-0.0111, 2040-2059, ccsm4, May Anomaly, NPL
-0.0382, 2040-2059, ccsm4, Oct Anomaly, NPL
-1.0681, 2040-2059, ccsm4, Nov Anomaly, NPL
-2.5228, 2040-2059, ccsm4, Dec Anomaly, NPL
-1.9264, 2040-2059, cesm1_bgc, Jan Anomaly, NPL
-1.9609, 2040-2059, cesm1_bgc, Feb Anomaly, NPL
-1.9653, 2040-2059, cesm1_bgc, Mar Anomaly, NPL
-0.3377, 2040-2059, cesm1_bgc, Apr Anomaly, NPL
-0.0139, 2040-2059, cesm1_bgc, May Anomaly, NPL
-0.0771, 2040-2059, cesm1_bgc, Oct Anomaly, NPL
-0.9326, 2040-2059, cesm1_bgc, Nov Anomaly, NPL
-1.9117, 2040-2059, cesm1_bgc, Dec Anomaly, NPL
-2.0058, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-1.9296, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
-1.2998, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-0.2523, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
-0.0035, 2040-2059, cesm1_cam5, May Anomaly, NPL
