Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.6602, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.3117, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-1.4536, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2018, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0073, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.0121, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.1513, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-1.2307, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-2.0694, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.8585, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.3747, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-1.158, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.0549, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.0045, 2060-2079, bcc_csm1_1, May Anomaly, NPL
3.8E-4, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.1174, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.94, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-0.7517, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-1.2715, 2060-2079, bnu_esm, Jan Anomaly, NPL
-1.4376, 2060-2079, bnu_esm, Feb Anomaly, NPL
-1.8588, 2060-2079, bnu_esm, Mar Anomaly, NPL
-0.469, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.0061, 2060-2079, bnu_esm, May Anomaly, NPL
-7.0E-4, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.201, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.8069, 2060-2079, bnu_esm, Nov Anomaly, NPL
-1.2434, 2060-2079, bnu_esm, Dec Anomaly, NPL
-1.8611, 2060-2079, canesm2, Jan Anomaly, NPL
-2.1398, 2060-2079, canesm2, Feb Anomaly, NPL
-2.2784, 2060-2079, canesm2, Mar Anomaly, NPL
-0.5233, 2060-2079, canesm2, Apr Anomaly, NPL
-0.0426, 2060-2079, canesm2, May Anomaly, NPL
-3.0E-4, 2060-2079, canesm2, Jun Anomaly, NPL
