Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.2916, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-0.1091, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.5027, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1942, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0139, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.1989, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.23862, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.43886, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.17791, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.13895, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0116, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.4539, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.42041, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.48574, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.0127, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.08504, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.02232, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.26216, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.3631, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.49703, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.68599, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.3926, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.0882, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.11682, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-0.2758, 2060-2079, bnu_esm, Jan Anomaly, NPL
-0.1167, 2060-2079, bnu_esm, Feb Anomaly, NPL
-0.081, 2060-2079, bnu_esm, Mar Anomaly, NPL
-0.1068, 2060-2079, bnu_esm, Apr Anomaly, NPL
0.04053, 2060-2079, bnu_esm, May Anomaly, NPL
-0.3359, 2060-2079, bnu_esm, Jun Anomaly, NPL
1.11213, 2060-2079, bnu_esm, Jul Anomaly, NPL
2.04511, 2060-2079, bnu_esm, Aug Anomaly, NPL
1.69102, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.21222, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.20713, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.21349, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.1389, 2060-2079, canesm2, Jan Anomaly, NPL
-0.1365, 2060-2079, canesm2, Feb Anomaly, NPL
-0.0136, 2060-2079, canesm2, Mar Anomaly, NPL
0.09209, 2060-2079, canesm2, Apr Anomaly, NPL
-0.0312, 2060-2079, canesm2, May Anomaly, NPL
-0.0502, 2060-2079, canesm2, Jun Anomaly, NPL
0.475, 2060-2079, canesm2, Jul Anomaly, NPL
1.10895, 2060-2079, canesm2, Aug Anomaly, NPL
0.21166, 2060-2079, canesm2, Sep Anomaly, NPL
0.12417, 2060-2079, canesm2, Oct Anomaly, NPL
-0.1734, 2060-2079, canesm2, Nov Anomaly, NPL
0.22506, 2060-2079, canesm2, Dec Anomaly, NPL
0.64677, 2060-2079, ccsm4, Jan Anomaly, NPL
0.21335, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.3952, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.008, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.2458, 2060-2079, ccsm4, May Anomaly, NPL
-1.551, 2060-2079, ccsm4, Jun Anomaly, NPL
0.87078, 2060-2079, ccsm4, Jul Anomaly, NPL
0.7983, 2060-2079, ccsm4, Aug Anomaly, NPL
-0.0057, 2060-2079, ccsm4, Sep Anomaly, NPL
-0.0372, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.2892, 2060-2079, ccsm4, Nov Anomaly, NPL
-1.0959, 2060-2079, ccsm4, Dec Anomaly, NPL
-0.4025, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-0.0026, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
0.06418, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.07336, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
0.02582, 2060-2079, cesm1_cam5, May Anomaly, NPL
-1.4115, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
1.59057, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
1.6865, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.64544, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.69871, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.06259, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-0.1535, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-0.349, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
0.10874, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
-0.2233, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
-0.1147, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
0.05094, 2060-2079, cnrm_cm5, May Anomaly, NPL
-0.0412, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-0.3907, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-0.4201, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-0.0156, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
0.03745, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-0.1754, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
0.02973, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
0.05371, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-0.2219, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
0.14383, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.0106, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-0.0077, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-0.216, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-0.5543, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
-0.2424, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.20181, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
0.11518, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.06588, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.00993, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
0.45294, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.08846, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.12741, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
0.05502, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.0295, 2060-2079, gfdl_cm3, May Anomaly, NPL
0.00972, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
1.01034, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
1.12134, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-0.4741, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-0.4693, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
0.16101, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-0.4655, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
0.12877, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
0.07743, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
0.08185, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.0382, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
-0.0423, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-0.5655, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
0.48981, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
2.04301, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
0.16325, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
0.30899, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
0.06053, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
-0.0117, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
