Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
0.00947, 2060-2079, access1_0, Jan Anomaly, NPL
-0.1659, 2060-2079, access1_0, Feb Anomaly, NPL
0.09371, 2060-2079, access1_0, Mar Anomaly, NPL
0.17259, 2060-2079, access1_0, Apr Anomaly, NPL
0.61275, 2060-2079, access1_0, May Anomaly, NPL
0.20786, 2060-2079, access1_0, Jun Anomaly, NPL
2.82305, 2060-2079, access1_0, Jul Anomaly, NPL
1.57678, 2060-2079, access1_0, Aug Anomaly, NPL
0.54551, 2060-2079, access1_0, Sep Anomaly, NPL
0.01164, 2060-2079, access1_0, Oct Anomaly, NPL
-0.0254, 2060-2079, access1_0, Nov Anomaly, NPL
-0.0443, 2060-2079, access1_0, Dec Anomaly, NPL
-0.1752, 2060-2079, access1_3, Jan Anomaly, NPL
-0.1682, 2060-2079, access1_3, Feb Anomaly, NPL
0.17254, 2060-2079, access1_3, Mar Anomaly, NPL
0.0045, 2060-2079, access1_3, Apr Anomaly, NPL
0.6334, 2060-2079, access1_3, May Anomaly, NPL
1.23005, 2060-2079, access1_3, Jun Anomaly, NPL
3.55606, 2060-2079, access1_3, Jul Anomaly, NPL
2.08442, 2060-2079, access1_3, Aug Anomaly, NPL
0.52601, 2060-2079, access1_3, Sep Anomaly, NPL
0.04086, 2060-2079, access1_3, Oct Anomaly, NPL
0.08402, 2060-2079, access1_3, Nov Anomaly, NPL
-0.1613, 2060-2079, access1_3, Dec Anomaly, NPL
-0.637, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0507, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.2541, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1092, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.28748, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.16056, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.48366, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.36192, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.41238, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.04249, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1115, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.6378, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.64729, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.31837, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.03492, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.02405, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.06485, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.49107, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.12182, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.96092, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.81255, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.01459, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.08608, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.5585, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-0.3587, 2060-2079, bnu_esm, Jan Anomaly, NPL
-0.2599, 2060-2079, bnu_esm, Feb Anomaly, NPL
-0.0114, 2060-2079, bnu_esm, Mar Anomaly, NPL
7.0E-5, 2060-2079, bnu_esm, Apr Anomaly, NPL
-9.0E-4, 2060-2079, bnu_esm, May Anomaly, NPL
-1.0498, 2060-2079, bnu_esm, Jun Anomaly, NPL
1.31659, 2060-2079, bnu_esm, Jul Anomaly, NPL
2.86862, 2060-2079, bnu_esm, Aug Anomaly, NPL
2.17827, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.1662, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.1002, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.02118, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.181, 2060-2079, canesm2, Jan Anomaly, NPL
-0.0956, 2060-2079, canesm2, Feb Anomaly, NPL
0.09659, 2060-2079, canesm2, Mar Anomaly, NPL
0.08192, 2060-2079, canesm2, Apr Anomaly, NPL
-0.0261, 2060-2079, canesm2, May Anomaly, NPL
0.05329, 2060-2079, canesm2, Jun Anomaly, NPL
1.73224, 2060-2079, canesm2, Jul Anomaly, NPL
0.86113, 2060-2079, canesm2, Aug Anomaly, NPL
0.52599, 2060-2079, canesm2, Sep Anomaly, NPL
0.29912, 2060-2079, canesm2, Oct Anomaly, NPL
