Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
2.0431, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
0.17636, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
-0.2256, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
0.19996, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
0.05441, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
-0.056, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
-0.23, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
0.00613, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
-0.0271, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
-4.0E-4, 2040-2059, gfdl_esm2m, May Anomaly, NPL
0.25226, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
-0.1159, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
0.59879, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
0.70762, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
-0.4094, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
0.12658, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
-0.0126, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
-0.0466, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
0.01045, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
0.19234, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
0.05449, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
0.43465, 2040-2059, hadgem2_ao, May Anomaly, NPL
1.0823, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.86104, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
1.29548, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
0.51557, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
-0.1032, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
-0.0914, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
0.26035, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
0.03407, 2040-2059, hadgem2_es, Jan Anomaly, NPL
0.29632, 2040-2059, hadgem2_es, Feb Anomaly, NPL
0.11166, 2040-2059, hadgem2_es, Mar Anomaly, NPL
-0.004, 2040-2059, hadgem2_es, Apr Anomaly, NPL
0.29748, 2040-2059, hadgem2_es, May Anomaly, NPL
-0.5636, 2040-2059, hadgem2_es, Jun Anomaly, NPL
-0.2156, 2040-2059, hadgem2_es, Jul Anomaly, NPL
-0.3781, 2040-2059, hadgem2_es, Aug Anomaly, NPL
0.2509, 2040-2059, hadgem2_es, Sep Anomaly, NPL
0.03218, 2040-2059, hadgem2_es, Oct Anomaly, NPL
-0.0087, 2040-2059, hadgem2_es, Nov Anomaly, NPL
0.013, 2040-2059, hadgem2_es, Dec Anomaly, NPL
0.24225, 2040-2059, ipsl_cm5a_lr, Jan Anomaly, NPL
-0.2153, 2040-2059, ipsl_cm5a_lr, Feb Anomaly, NPL
-0.2765, 2040-2059, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.1576, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
0.01647, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
0.12101, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
0.08295, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
-0.3807, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
0.47865, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.526, 2040-2059, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.2353, 2040-2059, ipsl_cm5a_lr, Nov Anomaly, NPL
0.10072, 2040-2059, ipsl_cm5a_lr, Dec Anomaly, NPL
-0.4574, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, NPL
-0.2497, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, NPL
-0.0028, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, NPL
-0.0028, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
0.18195, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
0.38399, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
0.25741, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
0.87093, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
0.0953, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
0.237, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
0.55749, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, NPL
-0.2066, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, NPL
-0.1436, 2040-2059, miroc5, Jan Anomaly, NPL
0.25726, 2040-2059, miroc5, Feb Anomaly, NPL
0.33875, 2040-2059, miroc5, Mar Anomaly, NPL
0.06519, 2040-2059, miroc5, Apr Anomaly, NPL
-0.021, 2040-2059, miroc5, May Anomaly, NPL
0.2258, 2040-2059, miroc5, Jun Anomaly, NPL
0.01317, 2040-2059, miroc5, Jul Anomaly, NPL
0.17885, 2040-2059, miroc5, Aug Anomaly, NPL
0.69887, 2040-2059, miroc5, Sep Anomaly, NPL
0.29486, 2040-2059, miroc5, Oct Anomaly, NPL
0.20767, 2040-2059, miroc5, Nov Anomaly, NPL
0.11339, 2040-2059, miroc5, Dec Anomaly, NPL
-0.0782, 2040-2059, miroc_esm_chem, Jan Anomaly, NPL
0.40122, 2040-2059, miroc_esm_chem, Feb Anomaly, NPL
-0.15, 2040-2059, miroc_esm_chem, Mar Anomaly, NPL
-0.1211, 2040-2059, miroc_esm_chem, Apr Anomaly, NPL
0.81851, 2040-2059, miroc_esm_chem, May Anomaly, NPL
0.0932, 2040-2059, miroc_esm_chem, Jun Anomaly, NPL
2.12539, 2040-2059, miroc_esm_chem, Jul Anomaly, NPL
0.13085, 2040-2059, miroc_esm_chem, Aug Anomaly, NPL
0.07626, 2040-2059, miroc_esm_chem, Sep Anomaly, NPL
-0.2132, 2040-2059, miroc_esm_chem, Oct Anomaly, NPL
-0.0476, 2040-2059, miroc_esm_chem, Nov Anomaly, NPL
0.39603, 2040-2059, miroc_esm_chem, Dec Anomaly, NPL
0.09443, 2040-2059, miroc_esm, Jan Anomaly, NPL
-0.2357, 2040-2059, miroc_esm, Feb Anomaly, NPL
-0.0819, 2040-2059, miroc_esm, Mar Anomaly, NPL
0.40848, 2040-2059, miroc_esm, Apr Anomaly, NPL
-0.4398, 2040-2059, miroc_esm, May Anomaly, NPL
-0.3026, 2040-2059, miroc_esm, Jun Anomaly, NPL
0.88736, 2040-2059, miroc_esm, Jul Anomaly, NPL
-0.4175, 2040-2059, miroc_esm, Aug Anomaly, NPL
0.58692, 2040-2059, miroc_esm, Sep Anomaly, NPL
-0.0395, 2040-2059, miroc_esm, Oct Anomaly, NPL
-0.1525, 2040-2059, miroc_esm, Nov Anomaly, NPL
0.50763, 2040-2059, miroc_esm, Dec Anomaly, NPL
0.10451, 2040-2059, mri_cgcm3, Jan Anomaly, NPL
0.04607, 2040-2059, mri_cgcm3, Feb Anomaly, NPL
0.01675, 2040-2059, mri_cgcm3, Mar Anomaly, NPL
0.26891, 2040-2059, mri_cgcm3, Apr Anomaly, NPL
0.05086, 2040-2059, mri_cgcm3, May Anomaly, NPL
0.02766, 2040-2059, mri_cgcm3, Jun Anomaly, NPL
0.56141, 2040-2059, mri_cgcm3, Jul Anomaly, NPL
-0.3695, 2040-2059, mri_cgcm3, Aug Anomaly, NPL
-0.0558, 2040-2059, mri_cgcm3, Sep Anomaly, NPL
0.06042, 2040-2059, mri_cgcm3, Oct Anomaly, NPL
-0.0904, 2040-2059, mri_cgcm3, Nov Anomaly, NPL
-0.4332, 2040-2059, mri_cgcm3, Dec Anomaly, NPL
0.07508, 2040-2059, noresm1_m, Jan Anomaly, NPL
0.07093, 2040-2059, noresm1_m, Feb Anomaly, NPL
-0.124, 2040-2059, noresm1_m, Mar Anomaly, NPL
-0.0043, 2040-2059, noresm1_m, Apr Anomaly, NPL
0.17063, 2040-2059, noresm1_m, May Anomaly, NPL
2.06963, 2040-2059, noresm1_m, Jun Anomaly, NPL
1.13717, 2040-2059, noresm1_m, Jul Anomaly, NPL
0.16526, 2040-2059, noresm1_m, Aug Anomaly, NPL
-0.6506, 2040-2059, noresm1_m, Sep Anomaly, NPL
-0.1114, 2040-2059, noresm1_m, Oct Anomaly, NPL
-0.1699, 2040-2059, noresm1_m, Nov Anomaly, NPL
-0.4744, 2040-2059, noresm1_m, Dec Anomaly, NPL
-0.3166, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, NPL
-0.3158, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, NPL
-0.2875, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.1196, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.1679, 2040-2059, Ensemble (10th Percentile), May Anomaly, NPL
-1.7981, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, NPL
-4.3665, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, NPL
-3.4674, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.9509, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.6288, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, NPL
-0.4583, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, NPL
-0.2986, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, NPL
-0.0022, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, NPL
0.01026, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, NPL
-0.0812, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, NPL
0.01419, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, NPL
0.1538, 2040-2059, Ensemble (50th Percentile), May Anomaly, NPL
0.46302, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, NPL
0.0757, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, NPL
0.33497, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, NPL
0.74725, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, NPL
0.27233, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, NPL
0.07824, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, NPL
0.00832, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, NPL
0.73364, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, NPL
0.6287, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, NPL
0.35358, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, NPL
0.46244, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, NPL
2.43891, 2040-2059, Ensemble (90th Percentile), May Anomaly, NPL
5.2806, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, NPL
10.4613, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, NPL
9.48522, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, NPL
6.71438, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, NPL
1.6348, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, NPL
1.17578, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, NPL
0.82614, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, NPL
-2.0375, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
3.37805, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.5038, 2040-2059, ccsm4, Annual Anomaly, NPL
2.95352, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.4999, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.4664, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
3.26293, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
0.83968, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
4.25049, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-0.1265, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-0.7496, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
1.66442, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
2.2292, 2040-2059, miroc5, Annual Anomaly, NPL
3.43324, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.81867, 2040-2059, miroc_esm, Annual Anomaly, NPL
0.18694, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
2.15379, 2040-2059, noresm1_m, Annual Anomaly, NPL
-12.152, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.65483, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
32.5533, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
