"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AA2","AA3","AY1","AY2","CALL_SIGN","CIG","DEW","EQD","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","VIS","WND"
"44429099999","DANG, NP","28.05","82.5","634.0","2005-10-12T12:00:00","4","FM-12","99999","V020","09,0000,9,1","24,0000,9,1",,,,"99999","22000,1,9,N","+0207,1","Q01  00002PRCP24",,,,,"01,99,1,01,1,01,1,00800,1,00,1,00,1","120,M,+0305,1",,"99999,9,09357,1","9,9,999,9,-007,1",,,"V020","SYN088AAXX  12124 44429 22570 12302 10278 20207 39357 40106 81100 333 10305 59007 60008 70000;","FM-12","10106,1","4","+0278,1","020000,1,N,1","230,1,N,0010,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2007-03-11T12:00:00","4","FM-12","99999","V020","09,0000,9,1","24,0000,9,1",,,,"99999","22000,1,9,N","+0088,1","Q01  00002PRCP24",,,,,"01,99,1,00,1,00,1,99999,9,00,1,01,1","120,M,+0277,1",,"99999,9,09367,1","9,9,999,9,-007,1",,,"V020","SYN088AAXX  11124 44429 22967 12501 10264 20088 39367 40130 80001 333 10277 59007 60008 70000;","FM-12","10130,1","4","+0264,1","017000,1,N,1","250,1,N,0005,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-05T06:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+9999,9",,"00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,"99999,9,09369,1","9,9,999,9,-012,1",,,"V020","SYN064AAXX  05064 44429 42980 00901 10260 2//// 39369 40134 333 59012;","FM-12","10134,1","4","+0260,1","030000,1,N,1","090,1,N,0005,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-06T06:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+9999,9",,"00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,"99999,9,09387,1","9,9,999,9,+018,1",,,"V020","SYN064AAXX  06064 44429 42980 02202 10250 2//// 39387 40150 333 58018;","FM-12","10150,1","4","+0250,1","030000,1,N,1","220,1,N,0010,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-11T06:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+9999,9",,,,,,"01,99,1,01,1,01,1,00800,1,00,1,00,1",,,"99999,9,09403,1","9,9,999,9,+002,1",,,"V020","SYN070AAXX  11064 44429 42570 12903 10250 2//// 39403 40163 81100 333 58002;","FM-12","10163,1","4","+0250,1","020000,1,N,1","290,1,N,0015,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-14T06:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+0162,1",,"00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,"99999,9,09894,1","9,9,999,9,-006,1",,,"V020","SYN064AAXX  14064 44429 42958 01404 10264 20162 39894 40094 333 59006;","FM-12","10094,1","4","+0264,1","008000,1,N,1","140,1,N,0021,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-16T00:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+0098,1",,"00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,"99999,9,09355,1","9,9,999,9,-021,1",,,"V020","SYN064AAXX  16004 44429 42960 00000 10140 20098 39355 40110 333 59021;","FM-12","10110,1","4","+0140,1","010000,1,N,1","999,9,C,0000,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-17T06:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+0152,1",,,,,,"03,99,1,03,1,02,1,00800,1,00,1,00,1",,,"99999,9,09357,1","9,9,999,9,-021,1",,,"V020","SYN070AAXX  17064 44429 42562 30905 10266 20152 39357 40109 83200 333 59021;","FM-12","10109,1","4","+0266,1","012000,1,N,1","090,1,N,0026,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-18T00:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+0146,1",,"00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,"99999,9,09328,1","9,9,999,9,-007,1",,,"V020","SYN064AAXX  18004 44429 42960 00901 10180 20146 39328 40072 333 59007;","FM-12","10072,1","4","+0180,1","010000,1,N,1","090,1,N,0005,1"
"44429099999","DANG, NP","28.05","82.5","634.0","2011-03-19T06:00:00","4","FM-12","99999","V020",,,,,,"99999","22000,1,9,N","+0142,1",,,,,,"03,99,1,00,1,00,1,99999,9,00,1,02,1",,,"99999,9,09300,1","9,9,999,9,-039,1",,,"V020","SYN070AAXX  19064 44429 42965 30901 10290 20142 39300 40044 80002 333 59039;","FM-12","10044,1","4","+0290,1","015000,1,N,1","090,1,N,0005,1"
