Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
-45.81, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-81.772, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
164.07, 2040-2059, ccsm4, Annual Anomaly, NPL
315.727, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-42.628, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-68.132, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
110.058, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
23.5671, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
10.3606, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-17.941, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-23.834, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
35.8465, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
104.152, 2040-2059, miroc5, Annual Anomaly, NPL
60.8643, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-27.875, 2040-2059, miroc_esm, Annual Anomaly, NPL
101.807, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
199.439, 2040-2059, noresm1_m, Annual Anomaly, NPL
-302.28, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
-6.617, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
1076.56, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
