Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
110.685, 2060-2079, access1_0, Annual Anomaly, NPL
286.286, 2060-2079, access1_3, Annual Anomaly, NPL
45.752, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
103.623, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
97.8461, 2060-2079, bnu_esm, Annual Anomaly, NPL
376.484, 2060-2079, canesm2, Annual Anomaly, NPL
169.428, 2060-2079, ccsm4, Annual Anomaly, NPL
192.645, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
288.926, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
6.5775, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
196.97, 2060-2079, cmcc_cm, Annual Anomaly, NPL
-21.089, 2060-2079, cmcc_cms, Annual Anomaly, NPL
63.3969, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-0.6023, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
195.454, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
333.071, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
229.974, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
144.341, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
104.865, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
126.71, 2060-2079, hadgem2_es, Annual Anomaly, NPL
12.0551, 2060-2079, inmcm4, Annual Anomaly, NPL
21.0833, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
123.783, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-69.628, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
-155.15, 2060-2079, miroc5, Annual Anomaly, NPL
128.963, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
242.46, 2060-2079, miroc_esm, Annual Anomaly, NPL
24.2533, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-104.01, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
60.8506, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
49.1508, 2060-2079, mri_esm1, Annual Anomaly, NPL
227.517, 2060-2079, noresm1_m, Annual Anomaly, NPL
-240.94, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
132.418, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
851.901, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
