Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
60.0854, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
-9.0111, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
12.1425, 2080-2099, ccsm4, Annual Anomaly, NPL
207.911, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-48.694, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
156.283, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
345.007, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
146.926, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
101.965, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
96.0088, 2080-2099, hadgem2_es, Annual Anomaly, NPL
96.7978, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
173.629, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
90.0922, 2080-2099, miroc5, Annual Anomaly, NPL
96.2277, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
23.2519, 2080-2099, miroc_esm, Annual Anomaly, NPL
100.389, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
184.346, 2080-2099, noresm1_m, Annual Anomaly, NPL
-234.32, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
93.8205, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
945.875, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
