Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
-27.534, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
78.8242, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-75.686, 2060-2079, ccsm4, Annual Anomaly, NPL
88.2385, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
2.82748, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
99.4453, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
206.753, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
271.929, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
59.6821, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
14.5516, 2060-2079, hadgem2_es, Annual Anomaly, NPL
-6.7667, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
52.2564, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-44.251, 2060-2079, miroc5, Annual Anomaly, NPL
302.342, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
114.406, 2060-2079, miroc_esm, Annual Anomaly, NPL
30.6699, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
4.27529, 2060-2079, noresm1_m, Annual Anomaly, NPL
-239.19, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
79.996, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
817.521, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
