Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
74.896, 2040-2059, access1_0, Annual Anomaly, NPL
145.668, 2040-2059, access1_3, Annual Anomaly, NPL
53.4121, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
155.506, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
63.6841, 2040-2059, bnu_esm, Annual Anomaly, NPL
92.3365, 2040-2059, canesm2, Annual Anomaly, NPL
-0.1062, 2040-2059, ccsm4, Annual Anomaly, NPL
122.072, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
186.312, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
3.49374, 2040-2059, cmcc_cesm, Annual Anomaly, NPL
54.5509, 2040-2059, cmcc_cm, Annual Anomaly, NPL
164.71, 2040-2059, cmcc_cms, Annual Anomaly, NPL
-19.438, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
26.5571, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
46.6319, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
323.457, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
142.434, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
62.2145, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
77.5628, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
71.3897, 2040-2059, hadgem2_es, Annual Anomaly, NPL
62.0548, 2040-2059, inmcm4, Annual Anomaly, NPL
48.238, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
95.1872, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-74.192, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
-154.39, 2040-2059, miroc5, Annual Anomaly, NPL
152.165, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.6546, 2040-2059, miroc_esm, Annual Anomaly, NPL
70.0711, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-238.82, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
0.8221, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
78.095, 2040-2059, mri_esm1, Annual Anomaly, NPL
151.304, 2040-2059, noresm1_m, Annual Anomaly, NPL
-257.2, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
84.8475, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
741.656, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
