Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-1.9752, 2080-2099, access1_0, Jan Anomaly, NPL
-2.057, 2080-2099, access1_0, Feb Anomaly, NPL
-3.2736, 2080-2099, access1_0, Mar Anomaly, NPL
2.15389, 2080-2099, access1_0, Apr Anomaly, NPL
6.66509, 2080-2099, access1_0, May Anomaly, NPL
8.02327, 2080-2099, access1_0, Jun Anomaly, NPL
20.3268, 2080-2099, access1_0, Jul Anomaly, NPL
10.8113, 2080-2099, access1_0, Aug Anomaly, NPL
8.38294, 2080-2099, access1_0, Sep Anomaly, NPL
-1.3416, 2080-2099, access1_0, Oct Anomaly, NPL
-2.9173, 2080-2099, access1_0, Nov Anomaly, NPL
-4.1414, 2080-2099, access1_0, Dec Anomaly, NPL
-3.6058, 2080-2099, access1_3, Jan Anomaly, NPL
-4.4072, 2080-2099, access1_3, Feb Anomaly, NPL
-4.266, 2080-2099, access1_3, Mar Anomaly, NPL
2.96264, 2080-2099, access1_3, Apr Anomaly, NPL
1.53452, 2080-2099, access1_3, May Anomaly, NPL
19.5947, 2080-2099, access1_3, Jun Anomaly, NPL
25.2848, 2080-2099, access1_3, Jul Anomaly, NPL
23.332, 2080-2099, access1_3, Aug Anomaly, NPL
13.6156, 2080-2099, access1_3, Sep Anomaly, NPL
0.62861, 2080-2099, access1_3, Oct Anomaly, NPL
-1.0672, 2080-2099, access1_3, Nov Anomaly, NPL
-2.2317, 2080-2099, access1_3, Dec Anomaly, NPL
2.30217, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.3683, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-2.9368, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-4.1897, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
11.844, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.95765, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
2.45727, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
21.9383, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
13.4769, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-0.036, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
1.40383, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-5.1457, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
1.88744, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
4.87375, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
1.39649, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
1.20152, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
4.1644, 2080-2099, bcc_csm1_1, May Anomaly, NPL
9.13612, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
27.4657, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
12.0876, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
10.7214, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-1.1203, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
3.53975, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
7.89711, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-7.6693, 2080-2099, bnu_esm, Jan Anomaly, NPL
-2.3468, 2080-2099, bnu_esm, Feb Anomaly, NPL
-0.877, 2080-2099, bnu_esm, Mar Anomaly, NPL
-2.2117, 2080-2099, bnu_esm, Apr Anomaly, NPL
2.57905, 2080-2099, bnu_esm, May Anomaly, NPL
4.00826, 2080-2099, bnu_esm, Jun Anomaly, NPL
11.137, 2080-2099, bnu_esm, Jul Anomaly, NPL
11.9961, 2080-2099, bnu_esm, Aug Anomaly, NPL
14.5448, 2080-2099, bnu_esm, Sep Anomaly, NPL
-0.0302, 2080-2099, bnu_esm, Oct Anomaly, NPL
-2.4979, 2080-2099, bnu_esm, Nov Anomaly, NPL
-3.62, 2080-2099, bnu_esm, Dec Anomaly, NPL
-2.1032, 2080-2099, canesm2, Jan Anomaly, NPL
0.50502, 2080-2099, canesm2, Feb Anomaly, NPL
4.45985, 2080-2099, canesm2, Mar Anomaly, NPL
5.67525, 2080-2099, canesm2, Apr Anomaly, NPL
1.78765, 2080-2099, canesm2, May Anomaly, NPL
5.53812, 2080-2099, canesm2, Jun Anomaly, NPL
32.4827, 2080-2099, canesm2, Jul Anomaly, NPL
25.5524, 2080-2099, canesm2, Aug Anomaly, NPL
12.4432, 2080-2099, canesm2, Sep Anomaly, NPL
7.04013, 2080-2099, canesm2, Oct Anomaly, NPL
-0.1808, 2080-2099, canesm2, Nov Anomaly, NPL
-1.2908, 2080-2099, canesm2, Dec Anomaly, NPL
6.37522, 2080-2099, ccsm4, Jan Anomaly, NPL
-2.236, 2080-2099, ccsm4, Feb Anomaly, NPL
-5.4716, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.3452, 2080-2099, ccsm4, Apr Anomaly, NPL
1.32958, 2080-2099, ccsm4, May Anomaly, NPL
-2.8947, 2080-2099, ccsm4, Jun Anomaly, NPL
32.3203, 2080-2099, ccsm4, Jul Anomaly, NPL
37.7798, 2080-2099, ccsm4, Aug Anomaly, NPL
24.7144, 2080-2099, ccsm4, Sep Anomaly, NPL
10.9881, 2080-2099, ccsm4, Oct Anomaly, NPL
-10.207, 2080-2099, ccsm4, Nov Anomaly, NPL
-9.964, 2080-2099, ccsm4, Dec Anomaly, NPL
0.26467, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
1.5484, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-1.72, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
0.35255, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-2.4567, 2080-2099, cesm1_bgc, May Anomaly, NPL
-4.853, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
35.1501, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
21.9823, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
14.9052, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
13.2035, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-2.4411, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-13.772, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-12.63, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
