Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-2.2818, 2080-2099, access1_0, Jan Anomaly, NPL
-0.2499, 2080-2099, access1_0, Feb Anomaly, NPL
-0.5864, 2080-2099, access1_0, Mar Anomaly, NPL
0.62172, 2080-2099, access1_0, Apr Anomaly, NPL
4.07626, 2080-2099, access1_0, May Anomaly, NPL
0.98034, 2080-2099, access1_0, Jun Anomaly, NPL
13.2483, 2080-2099, access1_0, Jul Anomaly, NPL
7.14627, 2080-2099, access1_0, Aug Anomaly, NPL
2.70307, 2080-2099, access1_0, Sep Anomaly, NPL
-0.6894, 2080-2099, access1_0, Oct Anomaly, NPL
-2.5674, 2080-2099, access1_0, Nov Anomaly, NPL
-3.8112, 2080-2099, access1_0, Dec Anomaly, NPL
-4.3868, 2080-2099, access1_3, Jan Anomaly, NPL
-2.8599, 2080-2099, access1_3, Feb Anomaly, NPL
-2.4373, 2080-2099, access1_3, Mar Anomaly, NPL
0.49161, 2080-2099, access1_3, Apr Anomaly, NPL
3.05402, 2080-2099, access1_3, May Anomaly, NPL
4.91307, 2080-2099, access1_3, Jun Anomaly, NPL
14.2324, 2080-2099, access1_3, Jul Anomaly, NPL
9.7463, 2080-2099, access1_3, Aug Anomaly, NPL
10.9069, 2080-2099, access1_3, Sep Anomaly, NPL
-0.5037, 2080-2099, access1_3, Oct Anomaly, NPL
0.27701, 2080-2099, access1_3, Nov Anomaly, NPL
0.23684, 2080-2099, access1_3, Dec Anomaly, NPL
0.54508, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-3.5028, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.16218, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.6606, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
2.18516, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
6.18061, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.9538, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-2.1974, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
7.81633, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
8.84842, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-3.5185, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-7.2235, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
2.73635, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.45372, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.2893, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.45915, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
3.182, 2080-2099, bcc_csm1_1, May Anomaly, NPL
5.15616, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
10.3822, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
4.54387, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
2.78997, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.26429, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
1.77302, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
2.02383, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-4.3145, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.6899, 2080-2099, bnu_esm, Feb Anomaly, NPL
-0.748, 2080-2099, bnu_esm, Mar Anomaly, NPL
1.84992, 2080-2099, bnu_esm, Apr Anomaly, NPL
1.96696, 2080-2099, bnu_esm, May Anomaly, NPL
1.9865, 2080-2099, bnu_esm, Jun Anomaly, NPL
7.22562, 2080-2099, bnu_esm, Jul Anomaly, NPL
5.10962, 2080-2099, bnu_esm, Aug Anomaly, NPL
10.8569, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.80828, 2080-2099, bnu_esm, Oct Anomaly, NPL
1.23039, 2080-2099, bnu_esm, Nov Anomaly, NPL
1.94514, 2080-2099, bnu_esm, Dec Anomaly, NPL
-2.2718, 2080-2099, canesm2, Jan Anomaly, NPL
-2.2856, 2080-2099, canesm2, Feb Anomaly, NPL
1.54007, 2080-2099, canesm2, Mar Anomaly, NPL
3.356, 2080-2099, canesm2, Apr Anomaly, NPL
-0.1795, 2080-2099, canesm2, May Anomaly, NPL
9.84485, 2080-2099, canesm2, Jun Anomaly, NPL
21.937, 2080-2099, canesm2, Jul Anomaly, NPL
13.119, 2080-2099, canesm2, Aug Anomaly, NPL
12.5596, 2080-2099, canesm2, Sep Anomaly, NPL
3.95887, 2080-2099, canesm2, Oct Anomaly, NPL
3.16593, 2080-2099, canesm2, Nov Anomaly, NPL
1.36611, 2080-2099, canesm2, Dec Anomaly, NPL
14.3363, 2080-2099, ccsm4, Jan Anomaly, NPL
-8.0001, 2080-2099, ccsm4, Feb Anomaly, NPL
-4.1167, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.0435, 2080-2099, ccsm4, Apr Anomaly, NPL
3.64102, 2080-2099, ccsm4, May Anomaly, NPL
10.0204, 2080-2099, ccsm4, Jun Anomaly, NPL
12.3476, 2080-2099, ccsm4, Jul Anomaly, NPL
26.4572, 2080-2099, ccsm4, Aug Anomaly, NPL
17.0904, 2080-2099, ccsm4, Sep Anomaly, NPL
9.82072, 2080-2099, ccsm4, Oct Anomaly, NPL
1.21415, 2080-2099, ccsm4, Nov Anomaly, NPL
-19.495, 2080-2099, ccsm4, Dec Anomaly, NPL
8.48461, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
4.02695, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-1.7511, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
0.45067, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-7.6932, 2080-2099, cesm1_bgc, May Anomaly, NPL
-16.507, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
16.5117, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
9.57062, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
16.1574, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
1.58934, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
5.734, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-1.3693, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-13.36, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-0.3367, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.29316, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
0.14084, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-2.9479, 2080-2099, cesm1_cam5, May Anomaly, NPL
-2.6538, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
31.8461, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
40.2272, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
15.848, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
1.43121, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
4.92607, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
5.59531, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-7.7656, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-0.7622, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
