FID,id_punto,mes,mes_etiqueta,n_period,period,temp_max_normal,geom
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f7,40345,6,6,30,1940,9.32,POINT (9489986.590126572 3535725.659799159)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f6,40346,6,6,30,1940,10.63,POINT (9545646.335523209 3535725.659799159)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f5,40347,6,6,30,1940,12.22,POINT (9601306.080919845 3535725.659799159)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f4,40348,6,6,30,1940,12.74,POINT (9656965.826316481 3535725.659799159)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f3,40349,6,6,30,1940,11.76,POINT (9712625.57171312 3535725.659799159)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f2,40350,6,6,30,1940,10.45,POINT (9768285.317109756 3535725.659799159)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f1,42530,6,6,30,1940,39.29,POINT (8933389.136160204 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77f0,42531,6,6,30,1940,38.85,POINT (8989048.88155684 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ef,42532,6,6,30,1940,38.64,POINT (9044708.626953477 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ee,42533,6,6,30,1940,38.62,POINT (9100368.372350115 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ed,42534,6,6,30,1940,38.33,POINT (9156028.117746752 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ec,42535,6,6,30,1940,37.83,POINT (9211687.863143386 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77eb,42536,6,6,30,1940,37.32,POINT (9267347.608540025 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ea,42537,6,6,30,1940,36.92,POINT (9323007.353936663 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e9,42538,6,6,30,1940,36.44,POINT (9378667.099333297 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e8,42539,6,6,30,1940,36.04,POINT (9434326.844729934 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e7,42540,6,6,30,1940,35.42,POINT (9489986.590126572 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e6,42541,6,6,30,1940,34.57,POINT (9545646.335523209 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e5,42542,6,6,30,1940,33.73,POINT (9601306.080919845 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e4,42543,6,6,30,1940,30.86,POINT (9656965.826316481 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e3,42544,6,6,30,1940,30.43,POINT (9712625.57171312 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e2,42545,6,6,30,1940,28.92,POINT (9768285.317109756 3092272.122885534)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e1,40981,6,6,30,1940,31.35,POINT (8933389.136160204 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77e0,40982,6,6,30,1940,27.75,POINT (8989048.88155684 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77df,40983,6,6,30,1940,24.86,POINT (9044708.626953477 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77de,40984,6,6,30,1940,22.27,POINT (9100368.372350115 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77dd,40985,6,6,30,1940,16.98,POINT (9156028.117746752 3407504.076175717)
